"","Cohort","Instrument_name","Assessed","Keywords_survey","Keyword_count_survey","Keywords_pilot","Keyword_count_pilot","Categories_survey","Priority_scores_survey","Times_mentioned_survey","Respondents_survey","Categories_pilot","Priority_scores_pilot","Times_mentioned_pilot","Respondents_pilot","Keyword_respondents_survey"
"11","GenR","Arterial stiffness","both","cardiovascular disease,cvd,ecg,heart","1,1,1,1","artery,cardiovasculair,cardiovascular disease,coronary artery disease,plaque,stroke","1,1,1,1,1,1","Physiology,Physical health,NA","0.67,0.33,0","1,1,192",1,"Physiology,NA","1,0","1,39",1,1
"12","GenR","Autism-spectrum quotient (AQ-short)","both","asd,autism,autism quotient,autistic traits,neurodevelopmental disorder","1,1,1,1,1","asd,autism,developmental psychology,diagnosis,psychiatry,psychology,social competence,theory of mind","1,1,1,1,1,1,1,1","Mental health,NA","1,0","1,192",1,"Health,mental health,NA","0.67,0.33,0","2,1,38",2,1
"13","GenR","Background information of you and your family","both","demographics,education level,ethnicity,origin","1,1,1,1","age,demographics,education,ethnicity,family composition,gender,nationality,religion,sex","1,1,1,1,1,1,1,1,1","Demographics,NA","1,0","1,192",1,"Demographics,NA","1,0","2,39",2,1
"14","GenR","Behaviour Rating Inventory of Executive Function in Preschool Children (BRIEF-P)","both","","","attention,behavior,executive functioning,memory,problem solving","1,1,1,1,1","NA","NaN","192",0,"Cognition,Personality and individual differences,NA","0.67,0.33,0","1,1,39",1,0
"15","GenR","Behavioural inhibition and behavioural activation (BIS/BAS).","both","","","arousal,behavior,impulsivity,inhibition,psychology","1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,mental health,NA","0.5,0.5,0","1,1,38",1,0
"16","GenR","Berkeley Puppet","pilot",NA,NA,"anxiety,bullying,depression,externalizing behavior,hostility,internalizing behavior,interview,peers,psychology,victimization","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"17","GenR","Berkeley Puppet interview","survey","anxiety,bullying,conduct,depression,diagnostic interview,externalizing,hostility,internalizing,interview,oppositional defiant,peer acceptance,psychiatric interview","1,1,1,1,1,1,1,1,1,1,1,1",NA,NA,"Mental health,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,NA,NA,NA,NA,1
"18","GenR","Block Child Rearing Practices Report, abbreviated","both","parenting,parent-child interaction,parent-child relationship","2,1,1","nurturing,parent-child relationship,parenting","1,1,1","Parenting,NA","1,0","2,192",2,"Parenting,NA","1,0","1,39",1,2
"19","GenR","Blood pressure","both","","","arteries,blood,cardiovasculair,cardiovascular disease,coronary artery disease,physiology","1,1,1,1,1,1","Physiology,Physical health,blood pressure,Lifestyle,NA","0.5,0.25,0.17,0.08,0","2,1,1,1,191",2,"Physiology,NA","1,0","1,39",1,2
"20","GenR","Blood sample","both","dna methylation,genetics","1,1","biological sample,biomarkers,blood,omics,physiology,plasma,serum","1,1,1,1,1,1,1","Physical health,Physiology,Lifestyle,NA","0.5,0.33,0.17,0","2,1,1,192",2,"Physiology,NA","1,0","1,39",1,1
"21","GenR","Bone mineral density and related measures","both","","","antropometrics,body composition,bone mineral density,computed tomography,ct scan,dual x energy absorptiometry,frailty,physiology","1,1,1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"22","GenR","Bones","both","","","accidents,falling,fractures,health,physiology","1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"23","GenR","Borderline Personality Features Scale for Children","both","borderline personality,borderline,children","2,1,1","borderline personality disorder,developmental psychology,diagnosis,emotional liability,hostility,impulsivity,mental health,psychiatry,psychology,self-harm","1,1,1,1,1,1,1,1,1,1","Mental health,Personality,Social and emotional development,NA","0.42,0.42,0.17,0","2,2,2,192",2,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,2
"24","GenR","Brain structure","both","brain structure,brain volume","1,1","brain imaging,brain structure,exography,physiology,structural brain imaging","1,1,1,1,1","Physiology,Physical health,NA","0.67,0.33,0","1,1,192",1,"Physiology,NA","1,0","1,39",1,1
"25","GenR","Breastfeeding","both","","","addiction,breastfeeding,life history,life style,medication,nutrition,smoking,substance abuse,substance use,supplements","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Life history,Health,Lifestyle,mental health,NA","0.38,0.25,0.25,0.12,0","1,1,1,1,38",1,0
"26","GenR","Brief problem monitor-youth form (BMP-p)","both","emotional development,problem behavior,psychopathology","1,1,1","adhd,aggression,anxiety,depression,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","Mental health,Personality,Life history,NA","0.5,0.33,0.17,0","1,1,1,192",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"27","GenR","Brief symptom inventory (BSI)","both","parental mental health,parental mood disorders,parental psychopathology","1,1,1","anxiety,coping,depression,diagnosis,emotion regulation,feelings,psychiatry,psychology,stress","1,1,1,1,1,1,1,1,1","Mental health,Personality,Life history,Social and emotional development,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,192",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"28","GenR","Briefproblem monitor from the youth self report","pilot",NA,NA,"adhd,aggression,behavior,depression,developmental psychology,emotions,externalizing behavior,internalizing behavior,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"29","GenR","Bullying and Victimization","both","","","aggression,bullying,coping,hostility,physical aggression,psychology,relational aggression,school,victimization","1,1,1,1,1,1,1,1,1","bullying,NA","1,0","1,191",1,"mental health,Life history,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,1
"30","GenR","Cannabis Experiences Questionnaire - Intoxication effects checklist (CEQ-I)","both","","","additiction,cannabis,health,psychology,smoking,soft drugs,substance abuse,substance use,tabacco,weed","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Lifestyle,mental health,Health,Life history,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,38",1,0
"31","GenR","Cardiac and renal structure","both","cardiac and renal structure,heart,imaging,kidney","1,1,1,1","bladder,cardiovasculair,ecography,heart,physiology,renal,vessels","1,1,1,1,1,1,1","Physiology,Physical health,NA","0.83,0.17,0","2,1,192",2,"Physiology,NA","1,0","1,39",1,2
"32","GenR","Cardiac development","both","","","arteries,blood vessels,cardiavascular,development,ecography,heart","1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"33","GenR","CBCL 6-18-Competence scales","both","activities,child behaviour,child behaviour problems,competence,friends,friendships,hobbies","1,1,1,1,1,1,1","behavior,developmental psychology,peers,psychology,social competence","1,1,1,1,1","Social cognition and behavior,Social and emotional development,Mental health,NA","0.5,0.33,0.17,0","2,1,1,192",2,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,2
"34","GenR","Child's health","both","","","development,diseases,health,hospitalization,injuries,leisure time,pain,sleep,trauma,treatment","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Health,NA","1,0","1,39",1,0
"35","GenR","Child's perception of neighborhood","both","","","environment,perception,safety","1,1,1","NA","NaN","192",0,"Demographics,NA","1,0","1,39",1,0
"36","GenR","Child-care attitude and emotional disturbance among mothers of young children","both","","","affect,coping,emotions,parent-child relationship,parenting","1,1,1,1,1","NA","NaN","192",0,"mental health,Parenting,NA","0.67,0.33,0","1,1,38",1,0
"37","GenR","Child Behavior Checklist (CBCL)","both","behavior problems,child mental health,externalizing problems,internalizing problems","1,1,1,1","adhd,aggression,behavior,depression,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","Mental health,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"38","GenR","Child Behavior Questionnaire (CBQ)","both","child behavior,child temperament,personality,temperament","1,1,1,1","affect,behavior,effortful control,personality,surgency,temperament","1,1,1,1,1,1","Personality,temperament,Social cognition and behavior,Social and emotional development,Mental health,NA","0.53,0.17,0.15,0.1,0.05,0","2,1,1,1,1,191",2,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,2
"39","GenR","Child Behaviour Conflicts Scale","both","family conflict,harsh parenting,parenting","1,1,1","behavior,conflict,corporal punishment,family functioning,parent-child relationship,parenting","1,1,1,1,1,1","Parenting,Social cognition and behavior,NA","0.67,0.33,0","1,1,192",1,"Parenting,NA","1,0","1,39",1,1
"40","GenR","Child care","both","","","care,demographics,family composition,parenting,school","1,1,1,1,1","NA","NaN","192",0,"Demographics,Life history,NA","0.5,0.5,0","1,1,39",1,0
"41","GenR","Child caregiving involvement scale","both","","","involvement,parent-child relationship,parenting","1,1,1","NA","NaN","192",0,"Parenting,NA","1,0","1,39",1,0
"42","GenR","Child Feeding Questionnaire (CFQ).","both","","","nutrition,parenting","1,1","Physical health,Parenting,NA","0.67,0.33,0","1,1,192",1,"Life history,Personality and individual differences,NA","0.67,0.33,0","1,1,39",1,1
"43","GenR","Child Health Questionnaire Parent - CHQ-PF28","pilot",NA,NA,"disease,disorders,health,hospitalization,medication,subjective health,treatments","1,1,1,1,1,1,1",NA,NA,NA,NA,"Health,NA","1,0","1,39",1,NA
"44","GenR","Childhood trauma questionnaire (CTQ)","both","child abuse and neglect,early life stress","1,1","abuse,life event,neglect,psycholgy,trauma","1,1,1,1,1","Mental health,Life history,Lifestyle,Social and emotional development,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,192",1,"Life history,mental health,NA","0.5,0.5,0","1,1,38",1,1
"45","GenR","Children’s body image scale","both","","","anorexia,body image,bulimia,psychology,self perception","1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,NA","1,0","1,39",1,0
"46","GenR","Children’s Eating Behaviour Questionnaire (CEBQ)","both","","","behavior,development,eating,food,food preferences,nutrition","1,1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,Life history,NA","0.5,0.5,0","1,1,39",1,0
"47","GenR","Children’s worry management scale","both","emotional development,mood,mood disorders,psychopathology,self-regulation,temperament","1,1,1,1,1,1","coping,development,obsessive compulsive,problem solving,psychology,stress","1,1,1,1,1,1","Mental health,Social and emotional development,mood (disorders),Social cognition and behavior,psychopathology,NA","0.5,0.17,0.17,0.08,0.08,0","2,1,1,1,1,190",2,"Personality and individual differences,mental health,Health,NA","0.4,0.4,0.2,0","1,1,1,38",1,2
"48","GenR","CITO score","survey","academic performance,intelligence","1,1",NA,NA,"Cognition,NA","1,0","1,192",1,NA,NA,NA,NA,1
"49","GenR","Compliance and active resistance","both","","","attachement,compliance,parent-child relationship,parenting,resistance","1,1,1,1,1","NA","NaN","192",0,"Parenting,NA","1,0","1,39",1,0
"50","GenR","Composite International Diagnostic Interview (CIDI)","survey","intergenerational psychopathology,psychopathology","1,1",NA,NA,"psychopathology,Mental health,NA","0.67,0.33,0","1,1,191",1,NA,NA,NA,NA,1
"51","GenR","Composite International Diagnostic Interview (CIDI) (psychiatric)","pilot",NA,NA,"addiction,anxiety,bipolar disorder,depression,diagnosis,interview,post traumatic stress disorder,psychiatry,psychology,schizophrenia","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"52","GenR","Conners rating scale","both","adhd,conners,psychopathology","1,1,1","adhd,attention,behavior,developmental psychology,hyperactivity,impulsivity,psychiatry,psychology","1,1,1,1,1,1,1,1","Mental health,Social cognition and behavior,Social and emotional development,NA","0.5,0.25,0.25,0","1,1,1,192",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"53","GenR","Cord blood sample at birth","both","","","biological sample,biomarkers,birth,cord blood,omics,physiology","1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"54","GenR","COVID-19 infection measures","pilot",NA,NA,"behavior,coping,covid,disease,health,health behavior,life events,stress","1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Health,Life history,NA","0.5,0.5,0","1,1,39",1,NA
"55","GenR","COVID-19 specific items","both","covid-19,adherence,behavior,behaviour related to covid-19/corona,concerns,corona,corona virus,crisis,health behaviour,infection,pandemic,symptoms","2,1,1,1,1,1,1,1,1,1,1,1","behavior,coping,covid,disease,health,health behavior,hospitailization,infection","1,1,1,1,1,1,1,1","Physical health,Lifestyle,NA","0.67,0.33,0","2,2,192",2,"Life history,Health,Personality and individual differences,NA","0.5,0.25,0.25,0","1,1,1,39",1,2
"56","GenR","Criticism and Emotional Overinvolvement (EO)","both","","","emotion regulation,interview,parent-child relationship,parenting","1,1,1,1","NA","NaN","192",0,"Parenting,NA","1,0","1,39",1,0
"57","GenR","Crying","both","","","coping,development,temperament","1,1,1","Physical health,NA","1,0","1,192",1,"Personality and individual differences,NA","1,0","1,39",1,1
"58","GenR","Culture, social contacts","both","","","demographics,ethnicity,peers,relationships,social competence,social contacts","1,1,1,1,1,1","NA","NaN","192",0,"Social competence,Demographics,Life history,NA","0.5,0.25,0.25,0","1,1,1,39",1,0
"59","GenR","Delinquent behaviour","both","criminal behaviour,delinquency,delinquent behavior,offences","1,1,1,1","arrests,behavior,criminal record,delinquency,incarceration,judicial contact,life event,oppositional defiant behavior,psychology","1,1,1,1,1,1,1,1,1","externalizing behaviour,Mental health,NA","0.67,0.33,0","1,1,191",1,"Life history,Personality and individual differences,mental health,Health,NA","0.38,0.25,0.25,0.12,0","1,1,1,1,38",1,1
"60","GenR","Delusions -  Derived from K-SADS","both","delusions,mental health,psychiatry","1,1,1","delusions,diagnosis,hallucinations,psychiatry,psychology,schizophrenia,thought problems","1,1,1,1,1,1,1","Mental health,psychiatry,NA","0.67,0.33,0","1,1,191",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"61","GenR","Demographics (education, age, living situation)","both","","","age,demographics,education,family composition,gender,housing,sex,social economic status","1,1,1,1,1,1,1,1","Demographics,NA","1,0","1,192",1,"Demographics,NA","1,0","1,39",1,1
"62","GenR","Dental status and development","both","","","caries,dental,development,health,imaging,physiology,plaque,teeth","1,1,1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"63","GenR","Development and behavior (Motor, language and skills - IDI'94, ISAAC)","both","","","behavior,development,language,milestones,motor development","1,1,1,1,1","NA","NaN","192",0,"Physiology,Personality and individual differences,NA","0.67,0.33,0","1,1,39",1,0
"64","GenR","Drive for Muscularity Scale","both","","","body image,motivation,muscles,self perception","1,1,1,1","NA","NaN","192",0,"Personality and individual differences,Health,Physiology,NA","0.5,0.25,0.25,0","1,1,1,39",1,0
"65","GenR","Dutch Eating Behaviour Questionnaire (DEBQ)","both","eating,eating behavior,anorexia,binge eating,bulimia,eating behaviour,eating disorder,eating disorders,nutrition","2,2,1,1,1,1,1,1,1","anorexia,behavior,bulimia,eating,nutrition","1,1,1,1,1","Mental health,Lifestyle,Physical health,nutrition,Life history,NA","0.33,0.22,0.17,0.17,0.11,0","3,2,1,1,1,191",3,"Personality and individual differences,Lifestyle,Life history,NA","0.5,0.25,0.25,0","1,1,1,39",1,3
"66","GenR","Dutch Harter’s Self-Perception Profile for Children","pilot",NA,NA,"competence,self-perception","1,1",NA,NA,NA,NA,"Personality and individual differences,NA","1,0","1,39",1,NA
"67","GenR","Early Adolescent Temperament Questionnaire","both","temperament,children,personality disorder","3,1,1","emotional stability,personality,temperament","1,1,1","Personality,temperament,Social and emotional development,NA","0.44,0.33,0.22,0","2,1,2,191",3,"Personality and individual differences,NA","1,0","1,39",1,3
"68","GenR","eating behavior (snacks, fastfood)","pilot",NA,NA,"behavior,covid,eating,food preference,nutrition","1,1,1,1,1",NA,NA,NA,NA,"Life history,Lifestyle,Personality and individual differences,NA","0.5,0.25,0.25,0","1,1,1,39",1,NA
"69","GenR","Eating behavior + watching tv","pilot",NA,NA,"behavior,eating,food preferences,leisure time,nutrition,sedentary behavior,television","1,1,1,1,1,1,1",NA,NA,NA,NA,"Lifestyle,NA","1,0","1,39",1,NA
"70","GenR","Eating behavior and watching tv","survey","","",NA,NA,"NA","NaN","192",0,NA,NA,NA,NA,0
"71","GenR","Edinburgh postnatal depression scale (EPDS)","both","depression,depressive disorder,maternity blues,postnatal depression,postpartum depression","1,1,1,1,1","anxiety,birth,depression,diagnosis,postpartum depression,pregnancy,psychiatry,psychology","1,1,1,1,1,1,1,1","Mental health,NA","1,0","1,192",1,"mental health,Life history,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,1
"72","GenR","Education and work","both","","","demographics,education,school,work","1,1,1,1","Demographics,NA","1,0","1,192",1,"Demographics,NA","1,0","1,39",1,1
"73","GenR","Electro cardiography (ECG)","both","ecg,electro cardiography,electrocardigraphy,heart,heart rate,heart rate variability,rhythym","2,1,1,1,1,1,1","electro cardiograph,functional imaging,imaging,physiology","1,1,1,1","Physiology,Physical health,heart,NA","0.78,0.17,0.06,0","3,1,1,191",3,"Physiology,NA","1,0","1,39",1,3
"74","GenR","Emotional complaints","both","mental health,psychiatric history,psychological disorder","1,1,1","anxiety,coping,depression,emotion,life history,psychiatry,psychology,psychosis,schizophrenia,stress","1,1,1,1,1,1,1,1,1,1","Mental health,psychiatric history,NA","0.67,0.33,0","1,1,191",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"75","GenR","Emotional regulation/temperament (4 Lab-TAB tasks)","both","","","emotion regulation,observation,parent-child relationships,parenting,personality,temperament","1,1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,Parenting,NA","0.67,0.33,0","1,1,39",1,0
"76","GenR","Empathy for children and adolescents (IECA)","survey","adolescents,children,empathy,social interaction","1,1,1,1",NA,NA,"Social and emotional development,Personality,Mental health,NA","0.5,0.33,0.17,0","1,1,1,192",1,NA,NA,NA,NA,1
"77","GenR","Empathy for children and Adolescents (IECA)","pilot",NA,NA,"empathy,social competence,theory of mind","1,1,1",NA,NA,NA,NA,"Personality and individual differences,Cognition,Social competence,NA","0.5,0.25,0.25,0","1,1,1,39",1,NA
"78","GenR","Endothelial function","both","","","arteries,blood vessels,cardiovasculair,cardiovascular disease,coronary artery disease,heart,imaging,physiology","1,1,1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"79","GenR","Eye level (app)","survey","","",NA,NA,"NA","NaN","192",0,NA,NA,NA,NA,0
"80","GenR","Eyes (incl. children's reading)","pilot",NA,NA,"eyes,glasses,health,leisure time,light,physiology,reading,sedentary behavior,sight,social media","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Lifestyle,Physiology,NA","0.67,0.33,0","1,1,39",1,NA
"81","GenR","Eyes, retinal vasculature, refraction (retinal imaging)","both","?,eye measurements,ophthalmic measurements","1,1,1","eyes,health,imaging,physiology,sight","1,1,1,1,1","Physical health,NA","1,0","1,192",1,"Physiology,NA","1,0","1,39",1,2
"82","GenR","Eyes: visual acuity, retinal picture, refraction, IOL master, OCT","both","","","eyes,health,imaging,physiology,sight","1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,1
"83","GenR","Face development","both","","","antropometrics,development,imaging","1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"84","GenR","Faeces sample for microbiota","both","faeces,microbiome","1,1","biological sample,faeces,gut microbiome,meta-genomics,microbiome,microbiota,omics,physiology","1,1,1,1,1,1,1,1","Physical health,NA","1,0","1,192",1,"Physiology,NA","1,0","1,39",1,1
"85","GenR","Family Assessment Device (FAD), general functioning subscale (GF)","both","family dynamics,family functioning,family interaction,parenting","1,1,1,1","conflict,family functioning,interactions,organization,relationships","1,1,1,1,1","Parenting,Life history,Social and emotional development,NA","0.78,0.11,0.11,0","3,1,1,192",3,"Personality and individual differences,mental health,NA","0.5,0.5,0","1,1,38",1,3
"86","GenR","Family in which you grew up (CBS GE, GLOBE)","both","","","age,demographics,education,family composition,sex,social economic status,work","1,1,1,1,1,1,1","Demographics,NA","1,0","1,192",1,"Demographics,NA","1,0","1,39",1,1
"87","GenR","Family situation (incl. Marital status, composition)","both","marital status,family composition,family situation,house crowding,household,household information","2,1,1,1,1,1","demographics,divorce,family composition,marital status","1,1,1,1","Demographics,social class,Parenting,NA","0.83,0.11,0.06,0","3,1,1,191",3,"Demographics,NA","1,0","1,39",1,3
"88","GenR","Feeding (nutrition)","both","eating behavior,feeding","1,1","behavior,feeding,food,food preference,nutrition","1,1,1,1,1","Parenting,Physical health,Lifestyle,NA","0.33,0.33,0.33,0","1,1,1,192",1,"Lifestyle,Life history,NA","0.67,0.33,0","1,1,39",1,1
"89","GenR","Feeding your child","both","breast feeding,eating behaviour,nutrition","1,1,1","development,eating,health,nutrition,supplements,toilet training","1,1,1,1,1,1","nutrition,Parenting,Lifestyle,NA","0.5,0.25,0.25,0","1,1,1,191",1,"Life history,Lifestyle,NA","0.67,0.33,0","1,1,39",1,1
"90","GenR","Fetal brain development","both","fetal development,prenatal environment,programming","1,1,1","brain imaging,ecography,gestation,imaging,physiology,pregnancy,preterm","1,1,1,1,1,1,1","Physiology,Physical health,Mental health,NA","0.5,0.33,0.17,0","1,1,1,192",1,"Physiology,NA","1,0","1,39",1,1
"91","GenR","Fetal growth patterns (head circumference, biparietal diameter, abdominal circumference, femur length)","both","biometrics,gestation,growth,imaging","1,1,1,1","antropometics,ecography,physiology","1,1,1","Physiology,Physical health,NA","0.67,0.33,0","1,1,192",1,"Physiology,NA","1,0","1,39",1,1
"92","GenR","Food frequency questionnaire. FFQ","both","","","diet,food preferences,nutrition","1,1,1","NA","NaN","192",0,"Lifestyle,Life history,NA","0.67,0.33,0","1,1,39",1,0
"93","GenR","Friendship quality questionnaire","both","","","friendships,peers,relationships,social competence","1,1,1,1","NA","NaN","192",0,"Social competence,NA","1,0","1,39",1,0
"94","GenR","Gender experiences (GIDYQ)","both","","","gender,identity,sex,sexuality","1,1,1,1","NA","NaN","192",0,"Personality and individual differences,Demographics,NA","0.67,0.33,0","1,1,39",1,0
"95","GenR","General health","pilot",NA,NA,"allergies,chronic conditions,diseases,health,life events,medical history,subjective health","1,1,1,1,1,1,1",NA,NA,NA,NA,"Health,NA","1,0","1,39",1,NA
"96","GenR","General health of parents","survey","medical history,parental health,parental somatic health","1,1,1",NA,NA,"Demographics,Physical health,medical history,NA","0.5,0.33,0.17,0","2,1,1,191",2,NA,NA,NA,NA,2
"97","GenR","General health/chronic diseases","pilot",NA,NA,"chronic conditions,covid,diseases,health,subjective health","1,1,1,1,1",NA,NA,NA,NA,"Health,NA","1,0","1,39",1,NA
"98","GenR","Hair sample","both","biological measures (not sure what this measures,cortisol??)","1,1","biological sample,biomarkers,hormones,physiology","1,1,1,1","biological measure,NA","1,0","1,191",1,"Physiology,NA","1,0","1,39",1,1
"99","GenR","Handedness","both","","","ambitexterous,handedness,laterality,physiology","1,1,1,1","handedness,NA","1,0","1,191",1,"Physiology,Personality and individual differences,NA","0.67,0.33,0","1,1,39",1,1
"100","GenR","Harter’s Self-Perception Profile for Children","both","competence,self-perception","1,1","competence,development,self perception","1,1,1","Social and emotional development,Social cognition and behavior,NA","0.67,0.33,0","1,1,192",1,"Personality and individual differences,NA","1,0","1,39",1,1
"101","GenR","Health Behaviour in School-aged Children (HBSC)","both","bmi,health,healty eating practices,lifestyle","1,1,1,1","food preference,health,health behavior,nutrition","1,1,1,1","Lifestyle,Physiology,Physical health,bmi,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,191",1,"Lifestyle,Health,Personality and individual differences,NA","0.5,0.25,0.25,0","1,1,1,39",1,1
"102","GenR","Health during this pregnancy","both","health,physical health,pregnancy,pregnancy health","1,1,1,1","complications,disease,gestational diabetes,health,infections,pregnancy","1,1,1,1,1,1","Physical health,prenatal measures,pregnancy,NA","0.5,0.33,0.17,0","1,1,1,190",2,"Health,NA","1,0","1,39",1,2
"103","GenR","Health related quality of-life","both","","","health,mental health,quality of life,subjective health,wellbeing","1,1,1,1,1","quality of life,NA","1,0","1,191",1,"Health,mental health,NA","0.5,0.5,0","1,1,38",1,1
"104","GenR","Hearing","both","audiometry,hearing,hearing performance","1,1,1","audiometry,hearing,noise,physiology,tympanometry","1,1,1,1,1","Physical health,Life history,NA","0.83,0.17,0","2,1,192",2,"Physiology,NA","1,0","1,39",1,2
"105","GenR","Heart","survey","ecography,heart,ultrasound","1,1,1",NA,NA,"Physiology,Physical health,NA","0.67,0.33,0","1,1,192",1,NA,NA,NA,NA,1
"106","GenR","Height, weight, head circumference, skinfold thickness (subcutaneous fat mass), waist-hip ratio, referal to doctor, and vaccinations","both","","","antropometrics,development,health,medical care,obesity,vaccinations","1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"107","GenR","Home (damp, stains, smoking, pets, noise)","both","damp,home environment,pets,smoking,bugs,cleanliness home,home,noice,noise,stains","2,2,2,2,1,1,1,1,1,1","environment,neighborhood,noise,pollution,social economic status","1,1,1,1,1","environmental characteristics,Demographics,Lifestyle,Physical health,NA","0.33,0.25,0.25,0.17,0","1,2,1,1,191",2,"Demographics,Life history,NA","0.5,0.5,0","1,1,39",1,2
