"","Cohort","Instrument_name","Assessed","Keywords_survey","Keyword_count_survey","Keywords_pilot","Keyword_count_pilot","Categories_survey","Priority_scores_survey","Times_mentioned_survey","Respondents_survey","Categories_pilot","Priority_scores_pilot","Times_mentioned_pilot","Respondents_pilot","Keyword_respondents_survey"
"21","TRAILS","Biomarkers","both","","","biomarkers,hormones,antibodies,biological samples,blood,infection,inflammation,lipids,neurotransmitters,oxidative stress,physiology","2,2,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"22","TRAILS","BIS/BAS Scale","both","","","behavioral inhibition,behavioural activation,behavioural inhibition,cognition,cognitive control,motivation,reward,reward sensitivity,risky behavior","1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,NA","1,0","1,39",1,0
"23","TRAILS","Body Perception Questionnaire","both","","","body satisfaction,anorexia,body image,body perception,bulimia,mental health,physical characteristics,self-perception,self esteem","2,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,Physiology,NA","0.67,0.33,0","1,1,39",1,0
"24","TRAILS","Cannabis Use Problems Identification Test (CUPIT)","both","","","substance use,additction,cannabis,cannabis use,drug abuse,mental health,smoking,soft drug use,soft drugs,substance abuse,substance use disorder,weed","2,1,1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Health,mental health,NA","0.5,0.5,0","1,1,38",1,0
"25","TRAILS","Cardiovascular measures","both","blood pressure,cardiovascular,heart rate,hrv","2,1,1,1","cardiovascular health,blood pressure,cardiovascular disease,coronary artery disease,health,heart,heart rate,physical health,physiology","2,1,1,1,1,1,1,1,1","Physiology,Physical health,NA","0.5,0.5,0","1,1,192",2,"Physiology,NA","1,0","1,39",1,2
"26","TRAILS","Care responsibilities","both","","","care responsibilities,child care,demographics,parenting","1,1,1,1","care responsibilities ,NA","1,0","1,191",1,"Demographics,Parenting,NA","0.67,0.33,0","1,1,39",1,0
"27","TRAILS","Career and family planning","both","family,planning,work","1,1,1","demographics,work,work-life-balance","1,1,1","Social and emotional development,Personality,Demographics,NA","0.5,0.33,0.17,0","1,1,1,192",1,"Demographics,NA","1,0","1,39",1,1
"28","TRAILS","Caregiver-Teacher Report Form (C-TRF)","pilot",NA,NA,"mental health,adhd,anxiety,attention,depression,diagnosis,dsm,emotion,externalizing problems,internalizing problems,psychiatric symptoms,psychiatry,psychology,symptoms","2,1,1,1,1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"29","TRAILS","Child Behaviour Checklist (CBCL/6-18)","both","","","adhd,aggression,behavior,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,0
"30","TRAILS","Child Behaviour Checklist Preschool (CBCL/1½-5)","pilot",NA,NA,"adhd,aggression,behavior,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"31","TRAILS","Childhood Executive Functioning Inventory (CHEXI)","pilot",NA,NA,"cognition,executive functioning,attention,cogntive control,inhibition,memory,planning,problem solving,spatial reasoning","2,2,1,1,1,1,1,1,1",NA,NA,NA,NA,"Cognition,NA","1,0","1,39",1,NA
"32","TRAILS","Children’s Behavior Questionnaire (CBQ)","pilot",NA,NA,"behavior,depression,impulsivity,inhibition,personality,temperament","1,1,1,1,1,1",NA,NA,NA,NA,"Personality and individual differences,NA","1,0","1,39",1,NA
"33","TRAILS","Children’s Social Behavior Questionnaire (CSBQ)","both","autism,autism spectrum disorders; social cognition; social behavior,social cognition,social contact,stereotyped behavior","1,1,1,1,1","asd,autism,behavior,mental health,prosocial behavior,psychiatry,psychology,social behavior,social cognition,theory of mind","1,1,1,1,1,1,1,1,1,1","Mental health,Social cognition and behavior,NA","0.58,0.42,0","2,2,192",2,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,2
"34","TRAILS","Chronic conditions","both","functional somatic disorders,physical health","1,1","chronic conditions,chronic fatigue syndrome,diabetes,diagnosis,diseases,fibromyalgia,health,irritable bowel syndrome,physical health","2,1,1,1,1,1,1,1,1","Physical health,Mental health,NA","0.67,0.33,0","3,2,192",3,"Health,NA","1,0","1,39",1,1
"35","TRAILS","Columbia Impairment Scale (CIS)","both","","","disability,friendships,impairment,psychology,relationships,social adaptability,support","1,1,1,1,1,1,1","NA","NaN","192",0,"Health,NA","1,0","1,39",1,0
"36","TRAILS","Common health problems","both","","","accidents,asthma,diabetes,diagnosis,health,surgery,therapy,treatment","1,1,1,1,1,1,1,1","NA","NaN","192",0,"Health,NA","1,0","1,39",1,0
"37","TRAILS","Community Assessment of Psychic Experiences (CAPE)","both","delusion,hallucination,psychosis,schizophrenia","1,1,1,1","depression,diagnosis,mental health,personality disorders,psychiatry,psychology,psychosis,schizophrenia,thought problems","1,1,1,1,1,1,1,1,1","Mental health,NA","1,0","1,192",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"38","TRAILS","Conflict in Adolescent Dating Relationships Inventory (CADRI)","both","","","abuse,aggression,anger,conflict,hostility,neglect,relationships,romantic relationships,threatening behavior","1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Social competence,Life history,NA","0.67,0.33,0","1,1,39",1,0
"39","TRAILS","Conflict Tactics Scale","both","","","abuse,aggression,anger,conflict,corporeal punsihment,hostility,parent-child relationships,parenting,relationships,violence","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Social competence,Life history,Parenting,NA","0.5,0.25,0.25,0","1,1,1,39",1,0
"40","TRAILS","Confusion, Hubbub, and Order Scale (CHAOS)","both","","","clutter,demographics,family functioning,neglect,noise,organization,parent-child relationships,parenting","1,1,1,1,1,1,1,1","NA","NaN","192",0,"Parenting,Demographics,NA","0.67,0.33,0","1,1,39",1,0
"41","TRAILS","Copenhagen Psychosocial Questionnaire (COPSOQ)","both","job characteristics,work,job control","2,2,1","coping,demographics,development,problem solving,work","1,1,1,1,1","work,work-related factors,social environment,NA","0.5,0.33,0.17,0","1,1,1,189",2,"Demographics,Life history,NA","0.5,0.5,0","1,1,39",1,2
"42","TRAILS","Cortisol","both","","","biological sample,biomarker,glucocorticoid,hormone,omics,physiology,saliva,steroid hormones,stress","1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"43","TRAILS","Danish Psychosocial Questionnaire (DPQ)","both","job control,psychosocial work factors,workplace social support","1,1,1","conflict,demographics,problem solving,relationships,social competence,work","1,1,1,1,1,1","work environment,NA","1,0","1,191",1,"Demographics,Life history,NA","0.5,0.5,0","1,1,39",1,1
"44","TRAILS","Depression Anxiety Stress Scale (DASS)","pilot",NA,NA,"anxiety,coping,depression,diagnosis,mental health,phobia,psychiatry,psychology,stress","1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"45","TRAILS","Depression Impairment Scale for Parents (DISP)","pilot",NA,NA,"anxiety,coping,depression,diagnosis,mental health,psychiatry,psychology,stress,wellbeing","1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"46","TRAILS","Derryberry and Reed Task","both","","","attention,cognition,inhibition,social cognition","1,1,1,1","NA","NaN","192",0,"Cognition,NA","1,0","1,39",1,0
"47","TRAILS","Developmental history","both","","","birth,day care,development,gestational age,health,life history,pregnancy,toilet training","1,1,1,1,1,1,1,1","NA","NaN","192",0,"Life history,Health,Physiology,NA","0.5,0.25,0.25,0","1,1,1,39",1,0
"48","TRAILS","Developmental milestones","both","","","development,health,milestones,motor,physiology","1,1,1,1,1","Social and emotional development,Physical health,Mental health,Cognition,NA","0.55,0.2,0.15,0.1,0","2,1,1,1,192",2,"Life history,Physiology,NA","0.67,0.33,0","1,1,39",1,1
"49","TRAILS","Diagnostic Infant and Preschool Assessment (DIPA)","pilot",NA,NA,"adhd,attention,diagnosis,hyperactivity,impulsivity,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"50","TRAILS","Discrimination","both","","","demographics,discrimination,life event,minority","1,1,1,1","social environment,NA","1,0","1,191",1,"Life history,Demographics,NA","0.67,0.33,0","1,1,39",1,1
"51","TRAILS","Disruptive Behavior Diagnostic Observation Schedule (DB-DOS)","both","","","aggression,anger,disruptive behavior,externalizing behavior,hostility,mental health,oberservation,psychiatry,psychology,self control","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,0
"52","TRAILS","DNA","both","","","dna,genes,genetics,genomics,gwas,omics,pgs,polygenic risk scores,prs,snps","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Physiology,NA","1,0","1,39",1,0
"53","TRAILS","DNA methylation","survey","","",NA,NA,"NA","NaN","192",0,NA,NA,NA,NA,0
"54","TRAILS","Drinking Motive Questionnaire Revised (DMQ-R)","both","","","addiction,alcohol,drinking,life style,peer pressure,substance abuse,substance use","1,1,1,1,1,1,1","NA","NaN","192",0,"Lifestyle,Personality and individual differences,NA","0.5,0.5,0","1,1,39",1,0
"55","TRAILS","Early Adolescent Temperament Questionnaire Revised (EATQ-R)","both","adolescence,personality,temperament","1,1,1","personality,temperament","1,1","Personality,NA","1,0","1,192",1,"Personality and individual differences,NA","1,0","1,39",1,1
"56","TRAILS","Early Childhood Behavior Questionnaire (ECBQ)","pilot",NA,NA,"behavior,personality,temperament","1,1,1",NA,NA,NA,NA,"Personality and individual differences,NA","1,0","1,39",1,NA
"57","TRAILS","Early Social Communication Scales (ESCS)","both","social behavior,social communication,social interaction","1,1,1","attention,cognition,relationhips,social attention,social behavior,social competence,social interaction","1,1,1,1,1,1,1","Social and emotional development,NA","1,0","1,192",1,"Social competence,NA","1,0","1,39",1,1
"58","TRAILS","Eating Disorder Diagnostic Scale (EDDS)","both","anorexia nervosa,binge-eating disorder,bulimia nervosa,eating disorder,eating disorder diagnostic scale,edds","1,1,1,1,1,1","anorexia,binge-eating,bulimia,diagnosis,eating disorder,health,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1","Physical health,Mental health,Social and emotional development,NA","0.4,0.4,0.2,0","1,1,1,192",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
"59","TRAILS","Egna Minnen Betraffande Uppfostran Child (EMBU-C)","both","emotional warmth,overprotection,parent-child interaction,rejection,upbringing","1,1,1,1,1","affection,parent-child relationship,parenting","1,1,1","Parenting,family functioning,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,191",1,"Parenting,NA","1,0","1,39",1,1
"60","TRAILS","Emotion Dysregulation Inventory (EDI)","both","","","aggression,anxiety,depression,dysphoria,emotion regulation,mental health,psychology,social cognition","1,1,1,1,1,1,1,1","NA","NaN","192",0,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,0
"61","TRAILS","Event History Calendar","pilot",NA,NA,"abuse,accident,coping,death,hospitalization,life events,life history,neglect,stress,trauma","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Life history,NA","1,0","1,39",1,NA
"62","TRAILS","Familial pathology","both","","","congenial diseases,diagnosis,diseases,disorders,handicaps,health,hereditary,medical history,mental health,psychology","1,1,1,1,1,1,1,1,1,1","Demographics,Life history,NA","0.67,0.33,0","1,1,192",1,"Health,Life history,NA","0.67,0.33,0","1,1,39",1,0
"63","TRAILS","Familial psychopathology","both","addiction,adhd,antisocial behaviour,anxiety,depression,family assessment,family mental health,mental health,mental health; psychopathology; familial high risk,pdd-nos,psychosis","1,1,1,1,1,1,1,1,1,1,1","adhd,anxiety,depression,diagnosis,family history,medical history,mental health,psychiatry,psychology,psychopathology","1,1,1,1,1,1,1,1,1,1","Mental health,family assessment,Life history,NA","0.58,0.25,0.17,0","2,1,1,191",2,"mental health,Life history,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,2
"64","TRAILS","Family Assessment Device (FAD)","both","","","conflict,family functioning,parent-child relationship,sibling interactions,social competence,support","1,1,1,1,1,1","NA","NaN","192",0,"Parenting,Social competence,NA","0.67,0.33,0","1,1,39",1,0
"65","TRAILS","Fear of Negative Social Evaluation Scale","both","","","anxiety,mental health,psychiatry,psychology,social anxiety,social competence","1,1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,mental health,Health,NA","0.4,0.4,0.2,0","1,1,1,38",1,0
"66","TRAILS","Financial debts","both","","","debts,demographics,finance,income","1,1,1,1","NA","NaN","192",0,"Demographics,NA","1,0","1,39",1,0
"67","TRAILS","Food Frequency Questionnaire","both","","","food,food preference,life style,nutrition","1,1,1,1","NA","NaN","192",0,"Lifestyle,Personality and individual differences,NA","0.5,0.5,0","1,1,39",1,0
"68","TRAILS","Friendships","both","","","friendship,peers,relationships,social behavior,social competence","1,1,1,1,1","NA","NaN","192",0,"Social competence,NA","1,0","1,39",1,0
"69","TRAILS","Gaming","both","gaming,addiction,leisure","2,1,1","gaming,internet,leisure time,life style","1,1,1,1","Lifestyle,behavior,Mental health,activity,NA","0.42,0.25,0.17,0.17,0","2,1,1,1,190",2,"Lifestyle,NA","1,0","1,39",1,2
"70","TRAILS","Generalized Anxiety Disorder Scale (GAD-7)","pilot",NA,NA,"anxiety,diagnosis,mental health,phobia,psychiatry,psychology","1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"71","TRAILS","Generalized Self-Efficacy (GSE)","both","self-efficacy,coping,generalized self-efficacy,gse,personality","2,1,1,1,1","coping,self efficacy,stress","1,1,1","Personality,NA","1,0","2,192",2,"Personality and individual differences,NA","1,0","1,39",1,2
"72","TRAILS","Happiness","both","","","happiness,mental health,quality of life,satisfaction with life,wellbeing","1,1,1,1,1","NA","NaN","192",0,"mental health,Personality and individual differences,NA","0.67,0.33,0","1,1,38",1,0
"73","TRAILS","Health services utilization","both","","","diagnosis,health,medical care,therapy,treatment","1,1,1,1,1","NA","NaN","192",0,"Health,NA","1,0","1,39",1,0
"74","TRAILS","Health Worries Questionnaire","both","excessive worrying,health,hypochondria,worrying","1,1,1,1","anxiety,health,hypochandria,mental health,obsessive compulsive disorder,rumination,subjective health","1,1,1,1,1,1,1","Mental health,NA","1,0","1,192",1,"Health,NA","1,0","1,39",1,1
"75","TRAILS","Impairment Rating Scale (IRS)","pilot",NA,NA,"disability,education,impairment,mental health,peers,relationships,social behavior,social competence","1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Social competence,NA","1,0","1,39",1,NA
"76","TRAILS","Infant-Toddler Social and Emotional Assessment (ITSEA)","pilot",NA,NA,"emotion,emotion dysregulation,externalizing behavior,internalizing behavior,mental health,psychology,social behavior,temperament","1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Personality and individual differences,NA","0.67,0.33,0","1,1,38",1,NA
"77","TRAILS","Infant Behavior Questionnaire Revised (IBQ-R)","pilot",NA,NA,"attachment,behavior,personality,temperament","1,1,1,1",NA,NA,NA,NA,"Personality and individual differences,NA","1,0","1,39",1,NA
"78","TRAILS","Infant/Toddler Home Observation for Measurement of the Environment (IT-HOME)","both","","","demographics,family resources,home environment,life style,observation,parent-child relationship","1,1,1,1,1,1","NA","NaN","192",0,"Parenting,Demographics,Personality and individual differences,NA","0.5,0.33,0.17,0","1,1,1,39",1,0
"79","TRAILS","Interactive Drawing Test","both","","","prosocial behavior,social behavior,social competence","1,1,1","NA","NaN","192",0,"Social competence,NA","1,0","1,39",1,0
"80","TRAILS","Internet Gaming Disorder Scale","both","","","addiction,gaming,internet,life style,mental health,risk seeking,risk taking","1,1,1,1,1,1,1","NA","NaN","192",0,"mental health,Lifestyle,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,0
"81","TRAILS","Internet use","both","social media,internet,internet use,online,virtual","2,1,1,1,1","addiction,gaming,hobbies,internet,leisure time,life style","1,1,1,1,1,1","daily activities,internet use,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,190",2,"Lifestyle,NA","1,0","1,39",1,2
"82","TRAILS","Intimate relationships","both","","","relationships,romantic relationships","1,1","Social and emotional development,emotional attachment,NA","0.67,0.33,0","1,1,191",1,"Social competence,NA","1,0","1,39",1,1
"83","TRAILS","Intrasexual Competition Scale","both","competitiveness,female,gender,male,sex","1,1,1,1,1","competitiveness,social competence","1,1","Personality,Social cognition and behavior,NA","0.5,0.5,0","1,1,192",1,"Personality and individual differences,Social competence,NA","0.5,0.5,0","1,1,39",1,1
"84","TRAILS","Inventory of Attitudes towards Seeking Mental Health Services (IASMHS)","both","health care use,help-seeking,stigma","1,1,1","discrimination,medical services,medication,mental health,perception,psychology,stigmatization,therapy","1,1,1,1,1,1,1,1","health care,Mental health,NA","0.67,0.33,0","1,1,191",1,"mental health,Personality and individual differences,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,1
"85","TRAILS","Investment Model Scale","both","","","commitment,investment,relationships,romantic relationships,satisfaction,social competence","1,1,1,1,1,1","NA","NaN","192",0,"Social competence,NA","1,0","1,39",1,0
"86","TRAILS","Kessler Psychological Distress Scale (K10)","pilot",NA,NA,"anxiety,coping,depression,life events,mental health,psychiatry,psychology,stress","1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"87","TRAILS","Length and weight","both","","","antropometrics,physiology","1,1","Physical health,NA","1,0","1,192",1,"Physiology,NA","1,0","1,39",1,0
"88","TRAILS","Life events","both","","","abuse,accident,anxiety,coping,death,depression,life events,neglect,stress,trauma","1,1,1,1,1,1,1,1,1,1","NA","NaN","192",0,"Life history,mental health,NA","0.67,0.33,0","1,1,38",1,0
"89","TRAILS","Life Events Questionnaire","pilot",NA,NA,"abuse,accident,coping,hospitalization,life events,life history,neglect,psychology,stress,trauma","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Life history,mental health,NA","0.67,0.33,0","1,1,38",1,NA
"90","TRAILS","Life Experience Survey (LES)","pilot",NA,NA,"abuse,accident,coping,death,hospitalization,life events,neglect,psychology,stress,trauma","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Life history,mental health,NA","0.67,0.33,0","1,1,38",1,NA
"91","TRAILS","Life Stress Interview (LSI)","pilot",NA,NA,"abuse,accident,coping,death,hospitalization,life events,life history,neglect,stress,trauma","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"Life history,mental health,NA","0.67,0.33,0","1,1,38",1,NA
"92","TRAILS","Lifestyle","both","alcohol use,diet,physical activity,smoking","1,1,1,1","diet,excercise,food,hobbies,leisure time,life style,nutrition,sedentary behavior,sports,substance use","1,1,1,1,1,1,1,1,1,1","Lifestyle,health behavior,NA","0.67,0.33,0","1,1,191",1,"Lifestyle,NA","1,0","1,39",1,1
"93","TRAILS","Lifetime Depression Assessment Self-report (LIDAS)","pilot",NA,NA,"depression,diagnosis,major depressive disorder,mania,mdd,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Life history,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,NA
"94","TRAILS","Long-term Difficulties Questionnaire","both","","","bullying,chronic disorders,coping,disability,diseases,handicaps,health,victimization","1,1,1,1,1,1,1,1","NA","NaN","192",0,"Health,mental health,NA","0.5,0.5,0","1,1,38",1,0
"95","TRAILS","Medical aids","both","","","braces,dentistry,glasses,health,hearing,hearing aids,medical aids,sight","1,1,1,1,1,1,1,1","NA","NaN","192",0,"Health,NA","1,0","1,39",1,0
"96","TRAILS","Medical history","pilot",NA,NA,"health,life history,medical care,medical history,medication","1,1,1,1,1",NA,NA,NA,NA,"Health,NA","1,0","1,39",1,NA
"97","TRAILS","Medication use","both","","","health,medical care,medical services,medication","1,1,1,1","medication use,NA","1,0","1,191",1,"Health,NA","1,0","1,39",1,0
"98","TRAILS","Mental health services utilization","pilot",NA,NA,"health,medical care,medical services,medication,mental health,psychiatry,psychology,therapy,treatment","1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,NA
"99","TRAILS","Methylation","pilot",NA,NA,"catechol-o-methyltransferase,catecholamines,dna methylation,epigenetics,genes,genetics,glucocorticoids,hormones,nuclear receptor subfamily 3 group c member 1,solute carrier family 6 member 4","1,1,1,1,1,1,1,1,1,1",NA,NA,NA,NA,"omics,Physiology,NA","0.67,0.33,0","1,1,38",1,NA
"100","TRAILS","Motives for Behaviour Questionnaire","both","","","behavior,hedonism,mental health,motivation,motives","1,1,1,1,1","NA","NaN","192",0,"Personality and individual differences,NA","1,0","1,39",1,0
"101","TRAILS","Motor activity","both","accelerometer,motor activity,physical activity","1,1,1","accelerometer,activity,development,excercise,motor","1,1,1,1,1","physical activity,NA","1,0","1,191",1,"Physiology,Health,Lifestyle,NA","0.5,0.25,0.25,0","1,1,1,39",1,1
"102","TRAILS","Multidimensional Scale of Perceived Social Support","pilot",NA,NA,"friendship,relationships,romantic relationships,sibling interactions,social competence,social support","1,1,1,1,1,1",NA,NA,NA,NA,"Social competence,NA","1,0","1,39",1,NA
"103","TRAILS","Need for care","both","mental health,need for care","1,1","emotion regulation,health,medical care,medical services,medication,mental health,problem behavior,psychology,therapy,treatment","1,1,1,1,1,1,1,1,1,1","care utilization,Mental health,NA","0.67,0.33,0","1,1,191",1,"mental health,Health,NA","0.67,0.33,0","1,1,38",1,1
