Instrument_nr;Instrument_name;Instrument_description
19;E-diary - Daily structure and activities of the children;E-diary through the Upinion smartphone app about among other, activities, mood, saliva collection and sleep
20;EEG during the Face Processing Task;EEG during the Face Processing Task
21;Faces paradigm;Passive viewing task in which respondents watch positive, neutral and negative child facial expressions
22;Family Assessment Device;The Family Assessment Device consists of questions about the functioning of the family. Within L-CID, only the 12 items from the General Functioning subscale are used. 
23;Family Interaction Task;Observation of a parent-child interaction in which the parent and the child have to discuss a predetermined set of subjects
24;Fear of Negative Evaluation;Questionnaire about the child's worries about the opinion of others
25;Feeling and Thinking Questionnaire;The Feeling and Thinking Questionnaire is aimed to measure Affective and Cognitive empathy in 8 and 9 year old children
26;Five-minute speech;Five minute speech sample 
27;fMRI during the Self-concept Task;fMRI during the task about the child's self-concept
28;Highly Sensitive Child Scale;The Highly Sensitive Child Scale consists of 27 items about the sensitivity of the child (e.g. to sounds, scents, social interaction, etc.). Within L-CID, 13 items are used.
29;Individual differences and preferences;The Individual differences and preferences questionnaire investigates sources of individual differences between the twins with items on differences between the children, e.g., in terms of daily interaction, preferences, relationship with the twins, and hobbies
30;Interpersonal Reactivity Index;The Interpersonal Reactivity Index is aimed to measure empathy and consists of 28 items from 4 different subscales. Within L-CID, the 14 items from the empathic concern scale and the perspective-taking scale are used. 
31;Inventory of Callous-Unemotional Traits;Questionnaire about Callous and Unemotional traits of the child
32;Investment Models Scale;The Investment Models Scale consists of 6 items about marital satisfaction, all of them being used in L-CID. 
33;Language Environment Analysis;Device that records sounds from the environment
34;Musical Training Questionnaire;The Musical Training Questionnaire (BAM) measures the self- and parent-reported experience and skills with music and dance.
35;MyChild - Empathy;MyChild is aimed to measure conscience / internalized compliance and consists of 100 items over 10 different subscales. In L-CID, 46 items from 3 subscales are measured: Empathy, Guilt and Internalized Conduct.
36;MyChild - Guilt;MyChild is aimed to measure conscience / internalized compliance and consists of 100 items over 10 different subscales. In L-CID, 46 items from 3 subscales are measured: Empathy, Guilt and Internalized Conduct.
37;MyChild - Obedience;MyChild is aimed to measure conscience / internalized compliance and consists of 100 items over 10 different subscales. In L-CID, 46 items from 3 subscales are measured: Empathy, Guilt and Internalized Conduct.
38;Observation Evening meal;Observation of parent-child interactions during the evening meal
39;Olweus Bully/Victim Questionnaire;Questionnaire about bullying behaviors and victimization experiences of the child
40;Pandemic Questionnaire ;Questionnaire about COVID-19, e.g., COVID-symptoms, COVID-related behaviors and feelings
41;Parenting Attitudes Questionnaire;The Parenting Attitudes Questionnaire consists of 20 items about the attitudes of parents about raising their children (e.g., when disciplining children is appropriate)
42;Parenting Daily Hassles;The Parenting Daily Hassles questionnaire consists of 20 items about the frequency and intensity of daily hassles parents may deal with, e.g., having to clean up children's messes or difficulties getting the children ready to go out
43;Parenting Practices Questionnaire - Warmth/involvement;The Parenting Practices Questionnaire consists of 62 items about the actions of parents. Within L-CID, 11 items from the warmth/involvement subscale are used, where the child is asked about affection, warmth, involvement and attention of the parent
44;Parenting Scale;The Parenting scale consists of 30 items. Within L-CID, items from the Laxness and Overreactivity subscales are used about parent's behavior and opinion about lax and aggressive behavior of the parent in raising their children
45;Parenting Scale - Overreactivity;The Parenting scale consists of 30 items. Within L-CID, items from the Laxness and Overreactivity subscales are used about parent's behavior and opinion about lax and aggressive behavior of the parent in raising their children
46;Perceived Stress Scale;Questionnaire about feelings of stress and anxiety in the past period
47;Pregnancy and Birth;The pregnancy questionnaire consists of items about the pregnancy course, duration and outcome of the pregnancy
48;Previous Parenting Support;The Previous Parenting Support questionnaire (Opvoedhulp vragenlijst) is a self-developed questionnaire about previous support that parents have sought in raising their children. 
49;Purdue Home Stimulation Inventory - Observation, interview;Observation and interview about household chaos
50;Questionnaire home environment - Daily routines (Sleep, Eat, Care, Media, Work);The Routines questionnaire investigates family routines in terms of sleep, eating, care, media and work. 
51;Questions about school-going of the twins;Questions about school-going of the children, e.g., which grade, type of school, etc.
52;Sally-Ann Task;Task to measure the child's ability for Theory of Mind
53;Self-concept Task;Task about the child's self-concept
54;Sensitive Discipline - Do;Observation of parent-child interaction when the parent has to instruct the child to do something (e.g., clean up toys)
55;Sensitive Discipline - Don't;Observation of parent-child interaction in which the parent has to forbid the child to do something (e.g., do not touch the toys while the parent plays with them)
56;Sensitivity - Etch-a-Sketch;Observation of parent-child interaction during the playing of the etch-a-sketch game, in the parent and the child have to collaborate to create a drawing
57;Sensitivity - Family game (Familygame_quartet en Familygame_roach);Observation of parent-child interaction during the playing of a family game
58;Sensitivity - Free play;Observation of free play without instructions
59;Sensorimotor synchronization;Task in which the child has to compare rhythms and judge whether sounds are in sync with a given rhythm
60;Social Contact;The social contact questions are about the duration, types and importance of the children's social contacts
61;Social Media Questionnaire;Questionnaire about social media use, rules and attitudes by the children
62;Social Media Questionnaire;Questionnaire about online behavior of the children
63;Social Wellbeing Questionnaire;Questionnaire about the social wellbeing of the child (e.g., happiness)
64;Strength and Difficulties Questionnaire;The Strength and Difficulties Questionnaire consists of 25 items, divided over 5 subscales: Prosocial, Hyperactivity, Conduct problems, Peer problems, Emotional problems.
65;Temperament in Middle Childhood Questionnaire - Discomfort, Fear, Perceptual sensitivity;The Temperament in Middle Childhood Questionnaire consists of 42 items divided over 4 subscales: Discomfort, Perceptual Sensitivity, Fear, and Effortful Control.
66;Temperament in Middle Childhood Questionnaire - Effortful control;The Temperament in Middle Childhood Questionnaire consists of 42 items divided over 4 subscales: Discomfort, Perceptual Sensitivity, Fear, and Effortful Control. The Effortful control subscale consists of items about Attentional Control and Inhibitory Control of the child
67;Twin Social Interaction / Etch-a-Sketch among twins;Task where the twins play a game of Etch-a-Sketch together
68;Twin Social Skills or Differences;These are a few (generally open) questions about the perceived differences between the twins, e.g., in terms of social skills
69;Visual Analogue Scale - Scanner related stress;The Visual Analogue Scale is a way of measuring stress related to going into the MRI scanner
70;Wildman items to screen for social desirability;The Wildman questionnaire is a measure of social desirability and is embedded within other questionnaire items 
