"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"20","Ages and Stages Questionnaires: Social-Emotional (ASQ:SE)","emotional development,social-emotional development,social development","1,1,1",1,"Social and emotional development,NA","1,0","1,192",1,"TRAILS"
"21","Sleep and Settle Questionnaire (SSQ)","crying,parental distress,sleep,temperament","1,1,1,1",1,"Parenting,Personality,Social and emotional development,NA","0.5,0.25,0.25,0","1,1,1,192",1,"TRAILS"
"22","Developmental milestones","","",1,"Social and emotional development,Physical health,Mental health,Cognition,NA","0.55,0.2,0.15,0.1,0","2,1,1,1,192",2,"TRAILS"
"23","Food Frequency Questionnaire","","",0,"NA","NaN","192",0,"TRAILS"
"24","Community Assessment of Psychic Experiences (CAPE)","delusion,hallucination,psychosis,schizophrenia","1,1,1,1",1,"Mental health,NA","1,0","1,192",1,"TRAILS"
"25","Lifestyle","alcohol use,diet,physical activity,smoking","1,1,1,1",1,"Lifestyle,health behavior,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"26","ALSPAC positivity/negativity","","",0,"NA","NaN","192",0,"TRAILS"
"27","Postpartum Bonding Scale","","",0,"parent-child relation,Parenting,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"28","Parent Behavior Checklist (PBC)","discipline,nurturing,parental expectations,parenting,upbringing","1,1,1,1,1",1,"Parenting,NA","1,0","1,192",1,"TRAILS"
"29","Parental overprotection","parental overprotection,parenting","1,1",1,"Parenting,NA","1,0","2,192",2,"TRAILS"
"30","Self-Efficacy for Parenting Tasks Index (SEPTI-TS)","","",0,"NA","NaN","192",0,"TRAILS"
"31","Nijmeegse Ouderlijke Stress Index Kort (NOSI-K)","","",0,"NA","NaN","192",0,"TRAILS"
"32","Parental involvement","parental behavior scaffolding,parental involvement,parental support,parenting,upbringing","1,1,1,1,1",2,"Parenting,NA","1,0","2,192",2,"TRAILS"
"33","Adult Responses to Children's Symptoms (ARCS)","","",0,"NA","NaN","192",0,"TRAILS"
"34","Emotion Dysregulation Inventory (EDI)","","",0,"NA","NaN","192",0,"TRAILS"
"35","Children’s Social Behavior Questionnaire (CSBQ)","autism,autism spectrum disorders; social cognition; social behavior,social cognition,social contact,stereotyped behavior","1,1,1,1,1",2,"Mental health,Social cognition and behavior,NA","0.58,0.42,0","2,2,192",2,"TRAILS"
"36","Negative Marital Interaction Scale","","",0,"NA","NaN","192",0,"TRAILS"
"37","Parent-child interaction","observation,parent-child interaction","1,1",1,"parent-child relation,Parenting,Social and emotional development,social environment,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,190",1,"TRAILS"
"38","Raisin task","observation,raisin task,self-control","1,1,1",1,"Personality,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"TRAILS"
"39","Disruptive Behavior Diagnostic Observation Schedule (DB-DOS)","","",0,"NA","NaN","192",0,"TRAILS"
"40","Baby movements","infants,movements","1,1",1,"physical activity,Physical health,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"41","Motor activity","accelerometer,motor activity,physical activity","1,1,1",1,"physical activity,NA","1,0","1,191",1,"TRAILS"
"42","Early Social Communication Scales (ESCS)","social behavior,social communication,social interaction","1,1,1",1,"Social and emotional development,NA","1,0","1,192",1,"TRAILS"
"43","Interactive Drawing Test","","",0,"NA","NaN","192",0,"TRAILS"
"44","Happiness","","",0,"NA","NaN","192",0,"TRAILS"
"45","Social Media Disorder Scale","","",1,"Mental health,Social cognition and behavior,NA","0.5,0.5,0","2,2,192",2,"TRAILS"
"46","Internet Gaming Disorder Scale","","",0,"NA","NaN","192",0,"TRAILS"
"47","ADHD DSM-IV Questionnaire ","adhd,attention,dsm,hyperactivity","1,1,1,1",1,"Social and emotional development,Mental health,NA","0.67,0.33,0","1,1,192",1,"TRAILS"
"48","Perfectionism","perfectionism,personality","1,1",1,"Personality,Mental health,NA","0.83,0.17,0","2,1,192",2,"TRAILS"
"49","Common health problems","","",0,"NA","NaN","192",0,"TRAILS"
"50","Child Behaviour Checklist (CBCL/6-18)","","",0,"NA","NaN","192",0,"TRAILS"
"51","Asthma","","",0,"NA","NaN","192",0,"TRAILS"
"52","Chronic conditions","functional somatic disorders,physical health","1,1",1,"Physical health,Mental health,NA","0.67,0.33,0","3,2,192",3,"TRAILS"
"53","Pain","","",0,"NA","NaN","192",0,"TRAILS"
"54","Columbia Impairment Scale (CIS)","","",0,"NA","NaN","192",0,"TRAILS"
"55","Absenteeism","school absenteeism,sickness leave,work absenteeism","1,1,1",1,"work,school,Demographics,NA","0.4,0.4,0.2,0","1,1,1,190",1,"TRAILS"
"56","Medical aids","","",0,"NA","NaN","192",0,"TRAILS"
"57","WHO Disability Assessment Schedule 2.0 (WHODAS 2.0)","","",0,"NA","NaN","192",0,"TRAILS"
"58","Health Worries Questionnaire","excessive worrying,health,hypochondria,worrying","1,1,1,1",1,"Mental health,NA","1,0","1,192",1,"TRAILS"
"59","Health services utilization","","",0,"NA","NaN","192",0,"TRAILS"
"60","Need for care","mental health,need for care","1,1",1,"care utilization,Mental health,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"61","Psychiatric diagnoses","dsm,[list of the fifteen individual disorders],mental disorders,mental health,mental problems,psychiatric classification,psychiatric disorders,psychiatric problems,psychopathology","2,1,1,1,1,1,1,1,1",2,"Mental health,clinical assessment,NA","0.83,0.17,0","2,1,191",2,"TRAILS"
"62","Medication use","","",0,"medication use,NA","1,0","1,191",1,"TRAILS"
"63","Length and weight","","",0,"Physical health,NA","1,0","1,192",1,"TRAILS"
"64","Waist and hip circumference","","",0,"NA","NaN","192",0,"TRAILS"
"65","Bio-electrical impedance","","",0,"NA","NaN","192",0,"TRAILS"
"66","Shuttle run test","","",0,"NA","NaN","192",0,"TRAILS"
"67","Tanner Scale","","",0,"NA","NaN","192",0,"TRAILS"
"68","Developmental history","","",0,"NA","NaN","192",0,"TRAILS"
"69","Life events","","",0,"NA","NaN","192",0,"TRAILS"
"70","Long-term Difficulties Questionnaire","","",0,"NA","NaN","192",0,"TRAILS"
"71","Traumatic childhood events","","",0,"NA","NaN","192",0,"TRAILS"
"72","Revised Child Anxiety and Depression Scale (RCADS)","","",0,"NA","NaN","192",0,"TRAILS"
"73","Perceived stress","","",0,"NA","NaN","192",0,"TRAILS"
"74","DNA","","",0,"NA","NaN","192",0,"TRAILS"
"75","DNA methylation","","",0,"NA","NaN","192",0,"TRAILS"
"76","Early Adolescent Temperament Questionnaire Revised (EATQ-R)","adolescence,personality,temperament","1,1,1",1,"Personality,NA","1,0","1,192",1,"TRAILS"
"77","NEO Personality Inventory Revised (NEO-PI-R)","","",1,"Personality,NA","1,0","1,192",1,"TRAILS"
"78","BIS/BAS Scale","","",0,"NA","NaN","192",0,"TRAILS"
"79","Derryberry and Reed Task","","",0,"NA","NaN","192",0,"TRAILS"
"80","Bangor Gambling Task","","",0,"NA","NaN","192",0,"TRAILS"
"81","Approach-Avoidance Test (AAT)","","",0,"NA","NaN","192",0,"TRAILS"
"82","Self-Perception Profile for Children (SPPC)","","",0,"NA","NaN","192",0,"TRAILS"
"83","Positive and Negative Affect Scale (PANAS)","","",0,"NA","NaN","192",0,"TRAILS"
"84","Fear of Negative Social Evaluation Scale","","",0,"NA","NaN","192",0,"TRAILS"
"85","Generalized Self-Efficacy (GSE)","self-efficacy,coping,generalized self-efficacy,gse,personality","2,1,1,1,1",2,"Personality,NA","1,0","2,192",2,"TRAILS"
"86","Body Perception Questionnaire","","",0,"NA","NaN","192",0,"TRAILS"
"87","Wechsler Intelligence Scale for Children (WISC-R)","","",1,"Cognition,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"TRAILS"
"88","Amsterdam Neuropsychological Tasks (ANT)","","",0,"NA","NaN","192",0,"TRAILS"
"89","Rey’s Verbal Learning Test","","",0,"NA","NaN","192",0,"TRAILS"
"90","Rey-Osterrieth Complex Figure test","","",0,"NA","NaN","192",0,"TRAILS"
"91","Verbal Fluency Test","cognition,executive control,language,verbal ability,verbal fluency","1,1,1,1,1",1,"Cognition,NA","1,0","1,192",1,"TRAILS"
"92","Self-Ordered Pointing Task (SOPT)","","",0,"NA","NaN","192",0,"TRAILS"
"93","Adolescent Cognitive Style Questionnaire (ACSQ)","adolescents,cognitive style,depression,vulnerability","1,1,1,1",1,"Personality,Mental health,NA","0.67,0.33,0","1,1,192",1,"TRAILS"
"94","Antisocial Behaviour Questionnaire (ASBQ)","antisocial behaviour,delinquency,delinquent behaviour,offending,rule-breaking","1,1,1,1,1",1,"externalizing problems,Mental health,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"95","School records","abilities,educational achievement,school performance,skills","1,1,1,1",1,"intellectual abilities,physical abilities,NA","0.5,0.5,0","1,1,190",1,"TRAILS"
"96","Social Skills Rating System","","",0,"NA","NaN","192",0,"TRAILS"
"97","Revised Class Play","","",0,"NA","NaN","192",0,"TRAILS"
"98","Relational Aggression Questionnaire","","",0,"NA","NaN","192",0,"TRAILS"
"99","Time spending patterns","","",0,"NA","NaN","192",0,"TRAILS"
"100","Physical activity",",leisure time physical activity,occupational physical activity","1,1,1",1,"physical activity,Lifestyle,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"101","Achievement Goals and Beliefs about Success in Sport","","",0,"NA","NaN","192",0,"TRAILS"
"102","Cardiovascular measures","blood pressure,cardiovascular,heart rate,hrv","2,1,1,1",2,"Physiology,Physical health,NA","0.5,0.5,0","1,1,192",2,"TRAILS"
"103","Cortisol","","",0,"NA","NaN","192",0,"TRAILS"
"104","Physiological stress-reactivity","baroreflex sensitivity,blood pressure,brs,cortisol,eyeblink reflex,heart rate,heart rate variability,hr,hrv,orthostatic stress,pep,pre-ejection period,respiratory sinus arrhythmia,rss,salivary cortisol,startle,stress reactivity,trier social stress test","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",1,"Physiology,stress reactivity,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"105","Substance use","alcohol,cannabis,drugs,smoking,substance use","1,1,1,1,1",1,"substance use,Mental health,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,191",1,"TRAILS"
"106","Subjective stress-reactivity","social stress,stress,anxiety,mood,orthostatic stress,self-report,startle,stress-reactivity,stress perception,stress response","2,2,1,1,1,1,1,1,1,1",2,"stress,stress reactivity,stress response,Personality,experiment,NA","0.33,0.2,0.2,0.17,0.1,0","1,1,1,1,1,188",2,"TRAILS"
"107","Biomarkers","","",0,"NA","NaN","192",0,"TRAILS"
"108","Familial psychopathology","addiction,adhd,antisocial behaviour,anxiety,depression,family assessment,family mental health,mental health,mental health; psychopathology; familial high risk,pdd-nos,psychosis","1,1,1,1,1,1,1,1,1,1,1",2,"Mental health,family assessment,Life history,NA","0.58,0.25,0.17,0","2,1,1,191",2,"TRAILS"
"109","Familial pathology","","",0,"Demographics,Life history,NA","0.67,0.33,0","1,1,192",1,"TRAILS"
"110","Inventory of Attitudes towards Seeking Mental Health Services (IASMHS)","health care use,help-seeking,stigma","1,1,1",1,"health care,Mental health,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"111","Family Assessment Device (FAD)","","",0,"NA","NaN","192",0,"TRAILS"
"112","Parenting Stress Index (PSI)","","",0,"NA","NaN","192",0,"TRAILS"
"113","Egna Minnen Betraffande Uppfostran Child (EMBU-C)","emotional warmth,overprotection,parent-child interaction,rejection,upbringing","1,1,1,1,1",1,"Parenting,family functioning,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,191",1,"TRAILS"
"114","Parental knowledge","parental knowledge,parental monitoring,parenting","1,1,1",1,"parent-child relation,Parenting,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"115","Parent-child relationship","","",0,"NA","NaN","192",0,"TRAILS"
"116","Drinking Motive Questionnaire Revised (DMQ-R)","","",0,"NA","NaN","192",0,"TRAILS"
"117","Conflict Tactics Scale","","",0,"NA","NaN","192",0,"TRAILS"
"118","Peer status","peer nominations,peer status","1,1",1,"social environment,Social and emotional development,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"119","Friendships","","",0,"NA","NaN","192",0,"TRAILS"
"120","Intimate relationships ","","",1,"Social and emotional development,emotional attachment,NA","0.67,0.33,0","1,1,191",1,"TRAILS"
"121","Investment Model Scale","","",0,"NA","NaN","192",0,"TRAILS"
"122","Intrasexual Competition Scale","competitiveness,female,gender,male,sex","1,1,1,1,1",1,"Personality,Social cognition and behavior,NA","0.5,0.5,0","1,1,192",1,"TRAILS"
"123","Sexuality","","",0,"NA","NaN","192",0,"TRAILS"
"124","Partner support","partner relation,partner support,romantic relation","1,1,1",1,"romantic relation,family functioning,NA","0.67,0.33,0","1,1,190",1,"TRAILS"
"125","Conflict in Adolescent Dating Relationships Inventory (CADRI)","","",0,"NA","NaN","192",0,"TRAILS"
"126","Copenhagen Psychosocial Questionnaire (COPSOQ)","job characteristics,work,job control","2,2,1",2,"work,work-related factors,social environment,NA","0.5,0.33,0.17,0","1,1,1,189",2,"TRAILS"
"127","Alcohol Use Disorders Identification Test (AUDIT)","addiction,alcohol,substance use","1,1,1",1,"Mental health,substance use,Lifestyle,NA","0.43,0.43,0.14,0","1,1,1,191",1,"TRAILS"
"128","Danish Psychosocial Questionnaire (DPQ)","job control,psychosocial work factors,workplace social support","1,1,1",1,"work environment,NA","1,0","1,191",1,"TRAILS"
"129","Work and health","employment,job,occupation,psychosocial work environment,work,work functioning","1,1,1,1,1,1",2,"work,employment ,Physical health,Demographics,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,190",2,"TRAILS"
"130","Utrecht Work Engagement Scale (UWES)","","",0,"NA","NaN","192",0,"TRAILS"
"131","Professional ambition","ambitions,expectations,work","1,1,1",1,"work-related factors,NA","1,0","1,191",1,"TRAILS"
"132","Survey Work-Home Interaction Nijmegen (SWING)","","",0,"NA","NaN","192",0,"TRAILS"
"133","Work health balance","","",0,"NA","NaN","192",0,"TRAILS"
"134","Work Role Functioning Questionnaire 2.0 (WRFQ 2.0)","","",0,"NA","NaN","192",0,"TRAILS"
"135","The Capability Set for Work","income,job control,knowledge,skills,work environment,work relations,work values","1,1,1,1,1,1,1",1,"work,NA","1,0","1,191",1,"TRAILS"
"136","Utrechtse Burn-Out Schaal (UBOS)","","",0,"NA","NaN","192",0,"TRAILS"
"137","Unemployment","unemployment,work,benefits,employment,job,labor market,participation","2,2,1,1,1,1,1",2,"Demographics,work-related factors,stress,NA","0.5,0.33,0.17,0","1,1,1,190",2,"TRAILS"
"138","Abbreviated Parent Report Children’s Abilities (PARCA) ","","",0,"NA","NaN","192",0,"GenR"
"139","Autism-spectrum quotient (AQ-short)","asd,autism,autism quotient,autistic traits,neurodevelopmental disorder","1,1,1,1,1",1,"Mental health,NA","1,0","1,192",1,"GenR"
"140","Interpersonal conflict questionnaire","","",0,"NA","NaN","192",0,"GenR"
"141","Intima-media thickness","","",0,"NA","NaN","192",0,"GenR"
"142","Inventory of Callous-Unemotional Traits","antisocial personality disorder,callous-unemotional,callous traits,conduct disorder,cu traits,lack of empathy,personality","1,1,1,1,1,1,1",2,"Social and emotional development,Personality,Social cognition and behavior,Mental health,NA","0.34,0.24,0.22,0.19,0","2,2,2,2,192",2,"GenR"
"143","Kidney development","","",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,192",1,"GenR"
"144","Language","bilingual,language,multilingual","1,1,1",1,"Demographics,Life history,NA","0.67,0.33,0","1,1,192",1,"GenR"
"145","Language development survey. LDS","language,speech,language development,vocabulary","2,2,1,1",2,"Cognition,Physical health,NA","0.83,0.17,0","2,1,192",2,"GenR"
"146","Leisure time ","physical activities,social behavior,social relationships","1,1,1",1,"Lifestyle,Mental health,Physical health,NA","0.5,0.33,0.17,0","1,1,1,192",1,"GenR"
"147","Life event interview","adverse events,environmental exposures,stress","1,1,1",1,"Parenting,Mental health,Life history,Social and emotional development,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,192",1,"GenR"
"148","Life events","adverse experiences,early life stress,life events interview,trauma","1,1,1,1",1,"Life history,Lifestyle,NA","0.67,0.33,0","1,1,192",1,"GenR"
"149","Lifestyle","alcohol,caffeine,cannabis,coffee,drug,eating,gambling,lifestyle,physical activity","1,1,1,1,1,1,1,1,1",1,"Lifestyle,Physical health,NA","0.67,0.33,0","1,1,192",1,"GenR"
"150","Background information of you and your family ","demographics,education level,ethnicity,origin","1,1,1,1",1,"Demographics,NA","1,0","1,192",1,"GenR"
"151","Living conditions (GLOBE)","","",0,"NA","NaN","192",0,"GenR"
"152","Loneliness scale ","","",0,"NA","NaN","192",0,"GenR"
"153","Lung function (through airway resistance)","","",0,"NA","NaN","192",0,"GenR"
"154","Lung: fractional exhaled nitric ocide (feno) - airway inflammation","airway inflammation,fractional exhaled nitric oxide,lung","1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,192",1,"GenR"
"155","Lungs: Allergy test","allergy,lung problems","1,1",1,"Physical health,NA","1,0","1,192",1,"GenR"
"156","Lungs: Exercise test (Steep Ramp Test)","biological measures,lung capacity","1,1",2,"Physiology,Physical health,NA","0.67,0.33,0","2,1,192",2,"GenR"
"157","Macarthur Communicative Development Inventory (MCDI)","communication,language development,social interaction","1,1,1",1,"Social cognition and behavior,Social and emotional development,Personality,Parenting,Cognition,NA","0.33,0.27,0.2,0.13,0.07,0","1,1,1,1,1,192",1,"GenR"
"158","Marital status and relationship quality ","family,marital status,parenting","1,1,1",1,"Demographics,Lifestyle,Parenting,NA","0.5,0.33,0.17,0","1,1,1,192",1,"GenR"
"159","Matching, building with blocks, folding paper, copying; playing (non-verbal cognition) (PARCA)","executive functioning,motor development","1,1",1,"Cognition,behavior,NA","0.67,0.33,0","1,1,191",1,"GenR"
"160","Maternity blues symptoms","birth,depression,maternal depression,maternal mental health,maternity blues,mental health,mood disorders,postpartum,postpartum depression,psychopathology","1,1,1,1,1,1,1,1,1,1",3,"Mental health,Parenting,Personality,Social and emotional development,NA","0.72,0.11,0.11,0.06,0","3,1,1,1,192",3,"GenR"
"161","Behaviour Rating Inventory of Executive Function in Preschool Children (BRIEF-P)","","",0,"NA","NaN","192",0,"GenR"
"162","McKnight Risk Factor Survey (MRFS-III)","body image,self-esteem","1,1",1,"Mental health,NA","1,0","1,192",1,"GenR"
"163","Medical history of family","","",0,"NA","NaN","192",0,"GenR"
"164","Moral Development/Conscience","moral development,conscience","3,2",3,"Social and emotional development,Social cognition and behavior,moral development ,Mental health,NA","0.56,0.28,0.11,0.06,0","3,2,1,1,191",3,"GenR"
"165","Mother and Baby Scale (MABS)","feeding,infant alertness,mother-child interaction,sleeping","1,1,1,1",1,"Parenting,infant behaviour,NA","0.67,0.33,0","1,1,191",1,"GenR"
"166","Mother-child interaction","attachment,behavior problems,etch-a-sketch,mother-child interaction,mother-child relationship,observational measure,observations,oversensitivity,parent-child interaction,parental sensitivity,parenting","2,1,1,1,1,1,1,1,1,1,1",3,"Parenting,Social and emotional development,Mental health,Personality,NA","0.69,0.18,0.1,0.03,0","3,2,1,1,192",3,"GenR"
"167","Motor development","","",1,"Parenting,Physiology,NA","0.67,0.33,0","1,1,192",1,"GenR"
"168","Movement (exercise)","","",0,"NA","NaN","192",0,"GenR"
"169","MRI","body mri,magnetic resonance imaging,mri","1,1,1",1,"Physical health,Physiology,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,192",1,"GenR"
"170","MRI brain imaging","brain function,brain functional connectivity,brain imaging,brain morphology,brain size,brain structure,brain volume,connectivity,imaging,magnetic resonance imaging,microstructural integrity,mri,neurimaging,neurology,resting-state functional mri,white matter microstructure","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"Physiology,neurobiology,Physical health,Mental health,NA","0.5,0.25,0.17,0.08,0","2,1,1,1,191",2,"GenR"
"171","Multidimensional Scale of Perceived Social Support","","",0,"NA","NaN","192",0,"GenR"
"172","Behavioural inhibition and behavioural activation (BIS/BAS).","","",0,"NA","NaN","192",0,"GenR"
"173","Nasal and nasalpharyngeal swabs for examination of bacterial carriage","","",0,"NA","NaN","192",0,"GenR"
"174","Neonatal Perception Inventory, perception of own infant","","",0,"NA","NaN","192",0,"GenR"
"175","Neuropsychological development (NEPSY-II)","attention,cognition,cognitive functions,executive function,executive functioning,inhibitory control,intelligence,memory,neurocognitive performance,neuropsychological domains,self-regulation,shifting","1,1,1,1,1,1,1,1,1,1,1,1",3,"Cognition,Social cognition and behavior,cognitive functions,cognitive functioning,NA","0.5,0.22,0.17,0.11,0","3,2,1,1,190",3,"GenR"
"176","Nijmeegse parental stress index","parental stress,parenthood stress","1,1",2,"Mental health,Parenting,Social and emotional development,Personality,NA","0.65,0.2,0.1,0.05,0","2,1,1,1,192",2,"GenR"
"177","Non-verbal IQ: Snijders-Oomen Niet-verbale intelligentie Test–Revisie (SON-R 2 1?2-7)","","",0,"NA","NaN","192",0,"GenR"
"178","Obstructive Sleep Apnea (OSA) questionnaire","obstructive sleep apnea,sleep problems","1,1",1,"Lifestyle,Physical health,Mental health,NA","0.5,0.25,0.25,0","1,1,1,192",1,"GenR"
"179","Opportunity for Prosocial Actions","","",1,"Social cognition and behavior,Social and emotional development,Mental health,NA","0.4,0.4,0.2,0","1,1,1,192",1,"GenR"
"180","Parental bonding inventory","","",0,"NA","NaN","192",0,"GenR"
"181","Parental sensitivity","parent-child interaction,parental sensitivity,parenting","1,1,1",1,"Parenting,Social cognition and behavior,Social and emotional development,NA","0.5,0.33,0.17,0","1,1,1,192",1,"GenR"
"182","Parenting practices","parental monitoring,parenting,monitoring,parental control,parenting practices","2,2,1,1,1",2,"Parenting,NA","1,0","2,192",2,"GenR"
"183","Berkeley Puppet interview","anxiety,bullying,conduct,depression,diagnostic interview,externalizing,hostility,internalizing,interview,oppositional defiant,peer acceptance,psychiatric interview","1,1,1,1,1,1,1,1,1,1,1,1",1,"Mental health,Social and emotional development,NA","0.67,0.33,0","1,1,192",1,"GenR"
"184","Pediatric daytime sleepiness scale (PDSS)","","",0,"NA","NaN","192",0,"GenR"
"185","Perceived parental rearing","maternal perceived parenting,maternal perceived rearing,parental history,parenting,perceived parenting","1,1,1,1,1",2,"parental history,Parenting,parental life history,Life history,NA","0.33,0.25,0.25,0.17,0","1,2,1,1,190",2,"GenR"
"186","Perceived stress.","stress,perceived stress,lifestyle,maternal stress","4,2,1,1",4,"Mental health,Parenting,maternal mental health,Lifestyle,NA","0.67,0.12,0.12,0.08,0","4,2,1,1,191",4,"GenR"
"187","Personal circumstances (incl. income) - GLOBE","","",0,"NA","NaN","192",0,"GenR"
"188","Physical appearance","3d picture,bmi,body morphology,looks,physical appearance","1,1,1,1,1",2,"body morphology,Physical health,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,191",2,"GenR"
"189","Physical characteristics (hair, eye, skin color mother and child)","physical characteristics,ancestry,cortisol,ethnicity,external characteristics,physical","2,1,1,1,1,1",4,"Physiology,Demographics,physical characteristics,NA","0.5,0.25,0.25,0","2,1,1,191",4,"GenR"
"190","Physical exercise ","","",0,"NA","NaN","192",0,"GenR"
"191","Physical health (chronic somatic diseases)","physical health,chronic disease,somatic complaints,chronic diseases,disease,health,somatic development,somatic diseases,somatic symptoms","3,2,2,1,1,1,1,1,1",5,"Physical health,Physiology,Life history,somatic diseases,development,NA","0.73,0.1,0.07,0.07,0.03,0","5,2,1,1,1,190",5,"GenR"
"192","Pittsburgh Sleep Quality Index (PSQI), 9 items","circadian rhythm,sleep,sleep duration,sleep problems","1,1,1,1",1,"sleep,sleep problems,circadian rhythm,Lifestyle,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,189",1,"GenR"
"193","Placental haeomynamics including resistance indices of the uterine and umbilical arteries","","",0,"NA","NaN","192",0,"GenR"
"194","Block Child Rearing Practices Report, abbreviated","parenting,parent-child interaction,parent-child relationship","2,1,1",2,"Parenting,NA","1,0","2,192",2,"GenR"
"195","Playing outside","exercise,outdoor psychical activity,physical activity,sedentary behaviors","1,1,1,1",1,"Lifestyle,Physical health,Personality,Social and emotional development,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,192",1,"GenR"
"196","Postnatal emotional problems and treatment","","",0,"NA","NaN","192",0,"GenR"
"197","Pregnancy complications and outcomes ","","",1,"pregnancy,NA","1,0","1,191",1,"GenR"
"198","Pregnancy outcome list","","",0,"NA","NaN","192",0,"GenR"
"199","Pre-school, after-school and out-of school care","","",0,"NA","NaN","192",0,"GenR"
"200","Previous pregnancies","","",0,"NA","NaN","192",0,"GenR"
"201","Prosocial behavior - SDQ","","",0,"NA","NaN","192",0,"GenR"
"202","Prosocial Tendencies Measures","helping others,prosocial behavior,prosocial behaviour","1,1,1",2,"prosocial behavior,Personality,Social cognition and behavior,NA","0.5,0.33,0.17,0","1,1,1,191",2,"GenR"
"203","Psychological assistence ","mental health,treatment,mental health care,psychological disorder,psychological problems","2,2,1,1,1",2,"Mental health,Lifestyle,care use,NA","0.67,0.17,0.17,0","2,1,1,191",2,"GenR"
"204","Pubertal development","development of secondary sexual characteristics,pubertal development,puberty","1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,192",1,"GenR"
