"","Instrument_name","Keywords","Keyword_count","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"20","Parental religiosity","demographics,religion","1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"21","Parent-child interaction","interactions,observation,parent-child relationship,parenting,play,social behavior,social competence","1,1,1,1,1,1,1","Parenting,Social competence,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"22","Parent-child relationship","parent-child relationship,parenting,social behavior,social competence","1,1,1,1","Parenting,Social competence,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"23","Parenting Stress Index (PSI)","behavior,coping,mental health,parenting,psychology,stress","1,1,1,1,1,1","mental health,Parenting,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"24","ALSPAC positivity/negativity","control,parent-child relationship,parental behaviour,parental support,parenting,support,warmth","1,1,1,1,1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"25","Partner support","conflict,family functioning,relationships,romantic relationship,support","1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"26","Peak flow test","astma,diagnosis,endurance,excercise,experiment,fitness,health,lung capacity,lung function,physiology","1,1,1,1,1,1,1,1,1,1","Physiology,Health,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"27","Peer status","bullying,friendships,interactions,peers,prosocial behavior,relationships,social competance,vicitimization","1,1,1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"28","Perceived stress","coping,life events,mental health,stress,subjective stress","1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"29","Perfectionism","identity,obsessive compulsive disorder,perfectionism,self image,self perception","1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"30","Physical activity","excercise,health,hobbies,leisure time,life style,physical activity,sport","1,1,1,1,1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"31","Physical health","accidents,chronic disorders,disability,diseases,handicaps,health,medical care","1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"32","Physiological stress-reactivity","biomarkers,blood pressure,coping,cortisol,emotion regulation,experiment,heart rate,saliva,social stress,stress","1,1,1,1,1,1,1,1,1,1","Physiology,mental health,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,"TRAILS"
"33","Positive and Negative Affect Scale (PANAS)","affect,depression,mental health","1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"34","Postpartum Bonding Scale","attachement,birth,depression,family functioning,parent-child relationship,parenting,postnatal depression,pregnancy","1,1,1,1,1,1,1,1","mental health,Parenting,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"35","Amsterdam Neuropsychological Tasks (ANT)","cognition,emotion recognition,attention,cognitive control,executive functioning,inhibition,memory,sustained attention","2,2,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"36","Pregnancy course","birth,gestational age,life history,pregnancy","1,1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"37","Pregnancy history","addiction,complications,development,diseases,health,life history,life style,pregnancy,substance use","1,1,1,1,1,1,1,1,1","Life history,Health,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,39",1,"TRAILS"
"38","Pregnancy status","abortion,gestational age,health,life history,miscarriages,pregnancy","1,1,1,1,1,1","Life history,Health,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"39","Pregnancy stress","anxiety,coping,depression,health,life events,life history,pregnancy,stress,wellbeing","1,1,1,1,1,1,1,1,1","mental health,Life history,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,"TRAILS"
"40","Preschool Behaviour List","aggression,anxiety,attention,behavior,depression,development,mental health,motor skills","1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"41","Preventive Child Healthcare Services","abortion,health,healthcare,miscarriages,pregnancy","1,1,1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"42","Professional ambition","ambition,demographics,profession,work","1,1,1,1","Personality and individual differences,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"43","Prosocial Behaviour Questionnaire","behavior,prosocial behavior,social competence","1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"44","Psychiatric Case Registry North Netherlands","diagnosis,health care,health services,medication,mental health,psychiatry,psychology,therapy","1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"45","Psychiatric diagnoses","adhd,autism spectrum disorder,diagnosis,dsm,general anxiety disorder,major depressive disorder,mental health,obsessive compulsive disorder,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"46","Antisocial Behaviour Questionnaire (ASBQ)","antisocial,antisocial behaviour,apd,behavior,conduct disorder,delinquency,delinquent behaviour,externalizing problems,hostility,mental health,oppositional defiant disorder,psychiatry,psychology,psychopathy,social problems,violence","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"47","Pubertal Development Scale","development,health,hormones,life history,menarche,physiology,puberty,secondary sexual characteristics","1,1,1,1,1,1,1,1","Physiology,Health,Life history,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"48","Raisin task","cognition,development,experiment,self control","1,1,1,1","Personality and individual differences,Cognition,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"49","Relational Aggression Questionnaire","aggression,bullying,direct aggression,hostility,mental health,psychology,relational aggression,victimization","1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"50","Revised Child Anxiety and Depression Scale (RCADS)","anxiety,depression,developmental psychology,diagnosis,dsm,mdd,mental health,phobia,psychology","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"51","Revised Class Play","aggression,disruptive behavior,isolation,observation,play,school,sociability,social competence","1,1,1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"52","Rey’s Verbal Learning Test","cognition,intelligence,memory,verbal intelligence,vocabulary","1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"53","Rey-Osterrieth Complex Figure test","cognition,executive functioning,memory,spatial reasoning,visual perception","1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"54","School records","arithmetics,education,language,learning difficulties,life history,performance,school,sports","1,1,1,1,1,1,1,1","Life history,Demographics,Cognition,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"55","Self-Efficacy for Parenting Tasks Index (SEPTI-TS)","parenting,self efficacy","1,1","Parenting,Personality and individual differences,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"56","Self-Ordered Pointing Task (SOPT)","cognition,executive functioning,memory,working memory","1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"57","Approach-Avoidance Test (AAT)","temperament,attachement,cognition,personality,social competence","2,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"58","Self-Perception Profile for Children (SPPC)","behavior,mental health,self comptence,self esteem,self image,self perception","1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"59","Sexuality","contraception use,demographics,medication,risky behavior,sexual experience,sexuality","1,1,1,1,1,1","Life history,Demographics,Health,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"60","Short trips","culture,leisure time,life style,social behavior","1,1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"61","Shuttle run test","endurance,excercise,fitness,health,physiology","1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"62","Skinfold thickness","body fat,obesity,physiology","1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"63","Sleep and Settle Questionnaire (SSQ)","parenting,sleep,temperament","1,1,1","Personality and individual differences,Health,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"64","Social Media Disorder Scale","addiction,mental health,social media","1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"65","Social media use","leisure time,life style,social media","1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"66","Social Production Functions Questionnaire","mental health,psychology,relationships,self perception,social competence,wellbeing","1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"67","Social Skills Rating System","emphathy,self control,social behavior,social competence,social skills","1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"68","Asthma","asthma,diagnosis,health,lung,physical health","2,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"69","Social support","demographics,relationships,social competence,social support","1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"70","Social Support List (SSL)","companionship,demographics,interactions,relationships,self esteem,social competence,social support","1,1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"71","Socio-demographics","age,demographics,education,ethnicity,family composition,neighborhood,religion,sex,social economic status,work","1,1,1,1,1,1,1,1,1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"72","Socioeconomic status (SES)","demographics,education,income,neighborhood,profession,social economic status","1,1,1,1,1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"73","Strengths and Difficulties Questionnaire (SDQ)","adhd,aggression,behavior,diagnosis,externalizing behavior,internalizing behavior,mental health,prosocial behavior,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"74","Subjective stress-reactivity","anxiety,coping,experiment,moods,social stress,stress,subjective stress","1,1,1,1,1,1,1","mental health,Personality and individual differences,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,"TRAILS"
"75","Substance use","alcohol,cannabis,drugs,hard drugs,life style,smoking,soft drugs,substance use,tabacco,weed","1,1,1,1,1,1,1,1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"76","Survey Work-Home Interaction Nijmegen (SWING)","coping,demographics,interactions,stress,work,work-life-balance","1,1,1,1,1,1","Life history,Demographics,Personality and individual differences,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"77","Tanner Scale","development,health,puberty,secondary sexual characteristics","1,1,1,1","Physiology,Life history,Health,NA","0.5,0.33,0.17,0","1,1,1,39",1,"TRAILS"
"78","Teacher Report Form (TRF)","adhd,aggression,anxiety,depression,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"79","Baby movements","development,motor control,motor development,motro development","1,1,1,1","Physiology,Health,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"80","Temperament Profiles List","activity,adaptability,attachement,chronotype,persistance,personality,temperament","1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"81","The Capability Set for Work","demographics,development,morals,problem solving,satisfactiion,values,work,work-life-balance","1,1,1,1,1,1,1,1","Personality and individual differences,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"82","Time spending patterns","gaming,hobbies,leisure time,life style,screen time,social media,socializing,sports,transportation","1,1,1,1,1,1,1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"83","Traumatic childhood events","abuse,accidents,death,hospitalization,life events,life history,neglect,stress,trauma,violence","1,1,1,1,1,1,1,1,1,1","mental health,Life history,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"84","Turning Points Questionnaire","coping,life events,life history","1,1,1","Life history,NA","1,0","1,39",1,"TRAILS"
"85","Unemployment","demographics,employment,work","1,1,1","Life history,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"86","Utrecht Work Engagement Scale (UWES)","dedication,demographics,motivation,work","1,1,1,1","Personality and individual differences,Demographics,Life history,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"87","Utrechtse Burn-Out Schaal (UBOS)","burn-out,coping,exhaustion,mental health,psychology,stress","1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"88","Verbal Fluency Test","cognition,verbal intelligence,vocabulary","1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"89","Virginity loss","life history,sexual experience,sexual intercourse","1,1,1","Life history,NA","1,0","1,39",1,"TRAILS"
"90","Bangor Gambling Task","cognition,emotion regulation,gambling behaviour,problem solving,reward processing,risk seeking,social cognition","2,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"91","Waist and hip circumference","antropometrics,health,obesity,physiology","1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"92","Wechsler Adult Intelligence Scale (WAIS-III)","attention,cognition,executive functioning,intelligence,memory,non-verbal intelligenge,problem solving,spatial reasoning,verbal intelligence,vocabulary","1,1,1,1,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"93","Wechsler Intelligence Scale for Children (WISC-R)","attention,cognition,executive functioning,intelligence,memory,non-verbal intelligence,problem solving,spatial reasoning,verbal intelligence,vocabulary","1,1,1,1,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"94","WHO Disability Assessment Schedule 2.0 (WHODAS 2.0)","chronic disorders,disability,disease,handicaps,health,subjective health,wellbeing","1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"95","Work and health","demographics,health,work","1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"96","Work health balance","demographics,health,life history,work","1,1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"97","Work Role Functioning Questionnaire 2.0 (WRFQ 2.0)","demographics,functioning,health,wellbeing,work","1,1,1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"98","World Mental Health Composite International Diagnostic Interview (CIDI)","anxiety,conduct disorder,depression,diagnosis,interview,mental health,obsessive compulsive disorder,psychiatry,psychology,substance abuse","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"99","Youth Self-Report (YSR)","adhd,aggression,behavior,depression,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"100","Beck Anxiety Inventory (BAI)","anxiety,depression,diagnosis,dsm,internalizing problems,mental health,phobia,psychiatry,psychology","2,2,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"101","Achievement Goals and Beliefs about Success in Sport","goal orientation,excercise,motivation,optimism,physical activity,sport","2,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"102","Bio-electrical impedance","antropometrics,bmi,body characteristics,body fat,fat,muscle,muscle mass,obesity,physical health,physiology","1,1,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"103","Biomarkers","biomarkers,hormones,antibodies,biological samples,blood,infection,inflammation,lipids,neurotransmitters,oxidative stress,physiology","2,2,1,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"104","BIS/BAS Scale","behavioral inhibition,behavioural activation,behavioural inhibition,cognition,cognitive control,motivation,reward,reward sensitivity,risky behavior","1,1,1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"105","Body Perception Questionnaire","body satisfaction,anorexia,body image,body perception,bulimia,mental health,physical characteristics,self-perception,self esteem","2,1,1,1,1,1,1,1,1","Personality and individual differences,Physiology,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"106","Cannabis Use Problems Identification Test (CUPIT)","substance use,additction,cannabis,cannabis use,drug abuse,mental health,smoking,soft drug use,soft drugs,substance abuse,substance use disorder,weed","2,1,1,1,1,1,1,1,1,1,1,1","Health,mental health,NA","0.5,0.5,0","1,1,38",1,"TRAILS"
"107","Cardiovascular measures","cardiovascular health,blood pressure,cardiovascular disease,coronary artery disease,health,heart,heart rate,physical health,physiology","2,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"108","Care responsibilities","care responsibilities,child care,demographics,parenting","1,1,1,1","Demographics,Parenting,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"109","Career and family planning","demographics,work,work-life-balance","1,1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"110","Caregiver-Teacher Report Form (C-TRF)","mental health,adhd,anxiety,attention,depression,diagnosis,dsm,emotion,externalizing problems,internalizing problems,psychiatric symptoms,psychiatry,psychology,symptoms","2,1,1,1,1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"111","Child Behaviour Checklist (CBCL/6-18)","adhd,aggression,behavior,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"112","ADHD DSM-IV Questionnaire ","adhd,hyperactivity,attention,diagnosis,externalizing problems,impulsivity,impulstivity,inattention,mental health,psychiatry,psychology","2,2,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"113","Child Behaviour Checklist Preschool (CBCL/1½-5)","adhd,aggression,behavior,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"114","Childhood Executive Functioning Inventory (CHEXI)","cognition,executive functioning,attention,cogntive control,inhibition,memory,planning,problem solving,spatial reasoning","2,2,1,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"115","Children’s Behavior Questionnaire (CBQ)","behavior,depression,impulsivity,inhibition,personality,temperament","1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"116","Children’s Social Behavior Questionnaire (CSBQ)","asd,autism,behavior,mental health,prosocial behavior,psychiatry,psychology,social behavior,social cognition,theory of mind","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"117","Chronic conditions","chronic conditions,chronic fatigue syndrome,diabetes,diagnosis,diseases,fibromyalgia,health,irritable bowel syndrome,physical health","2,1,1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"118","Columbia Impairment Scale (CIS)","disability,friendships,impairment,psychology,relationships,social adaptability,support","1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"119","Common health problems","accidents,asthma,diabetes,diagnosis,health,surgery,therapy,treatment","1,1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"120","Community Assessment of Psychic Experiences (CAPE)","depression,diagnosis,mental health,personality disorders,psychiatry,psychology,psychosis,schizophrenia,thought problems","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"121","Conflict in Adolescent Dating Relationships Inventory (CADRI)","abuse,aggression,anger,conflict,hostility,neglect,relationships,romantic relationships,threatening behavior","1,1,1,1,1,1,1,1,1","Social competence,Life history,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"122","Conflict Tactics Scale","abuse,aggression,anger,conflict,corporeal punsihment,hostility,parent-child relationships,parenting,relationships,violence","1,1,1,1,1,1,1,1,1,1","Social competence,Life history,Parenting,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"123","Adolescent Cognitive Style Questionnaire (ACSQ)","depression,anxiety,cognitive vulnerability,coping,diagnosis,psychology,stress","2,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"124","Confusion, Hubbub, and Order Scale (CHAOS)","clutter,demographics,family functioning,neglect,noise,organization,parent-child relationships,parenting","1,1,1,1,1,1,1,1","Parenting,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"125","Copenhagen Psychosocial Questionnaire (COPSOQ)","coping,demographics,development,problem solving,work","1,1,1,1,1","Demographics,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"126","Cortisol","biological sample,biomarker,glucocorticoid,hormone,omics,physiology,saliva,steroid hormones,stress","1,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"127","Danish Psychosocial Questionnaire (DPQ)","conflict,demographics,problem solving,relationships,social competence,work","1,1,1,1,1,1","Demographics,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"128","Depression Anxiety Stress Scale (DASS)","anxiety,coping,depression,diagnosis,mental health,phobia,psychiatry,psychology,stress","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"129","Depression Impairment Scale for Parents (DISP)","anxiety,coping,depression,diagnosis,mental health,psychiatry,psychology,stress,wellbeing","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"130","Derryberry and Reed Task","attention,cognition,inhibition,social cognition","1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"131","Developmental history","birth,day care,development,gestational age,health,life history,pregnancy,toilet training","1,1,1,1,1,1,1,1","Life history,Health,Physiology,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"132","Developmental milestones","development,health,milestones,motor,physiology","1,1,1,1,1","Life history,Physiology,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"133","Diagnostic Infant and Preschool Assessment (DIPA)","adhd,attention,diagnosis,hyperactivity,impulsivity,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"134","Adult Behaviour Checklist (ABCL)","adhd,aggresion,behavior,depression,diagnosis,dsm,externalizing behavior,externalizing problems,internalizing behavior,internalizing problems,mental health,psychiatric symptoms,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"135","Discrimination ","demographics,discrimination,life event,minority","1,1,1,1","Life history,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"136","Disruptive Behavior Diagnostic Observation Schedule (DB-DOS)","aggression,anger,disruptive behavior,externalizing behavior,hostility,mental health,oberservation,psychiatry,psychology,self control","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"137","DNA","dna,genes,genetics,genomics,gwas,omics,pgs,polygenic risk scores,prs,snps","1,1,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"138","Drinking Motive Questionnaire Revised (DMQ-R)","addiction,alcohol,drinking,life style,peer pressure,substance abuse,substance use","1,1,1,1,1,1,1","Lifestyle,Personality and individual differences,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"139","Early Adolescent Temperament Questionnaire Revised (EATQ-R)","personality,temperament","1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"140","Early Childhood Behavior Questionnaire (ECBQ)","behavior,personality,temperament","1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"141","Early Social Communication Scales (ESCS)","attention,cognition,relationhips,social attention,social behavior,social competence,social interaction","1,1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"142","Eating Disorder Diagnostic Scale (EDDS)","anorexia,binge-eating,bulimia,diagnosis,eating disorder,health,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"143","Egna Minnen Betraffande Uppfostran Child (EMBU-C)","affection,parent-child relationship,parenting","1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
"144","Emotion Dysregulation Inventory (EDI)","aggression,anxiety,depression,dysphoria,emotion regulation,mental health,psychology,social cognition","1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"145","Adult Responses to Children's Symptoms (ARCS)","health,monitoring,parent-child relationship,parental behaviour,parental support,parenting","1,1,1,1,1,1","Parenting,NA","1,0","1,39",1,"TRAILS"
