"","Instrument_name","Keywords","Keyword_count","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"42","136_Professional ambition","ambition,demographics,profession,work","1,1,1,1","Personality and individual differences,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"43","137_Prosocial Behaviour Questionnaire","behavior,prosocial behavior,social competence","1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"44","138_Psychiatric Case Registry North Netherlands","diagnosis,health care,health services,medication,mental health,psychiatry,psychology,therapy","1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"45","139_Psychiatric diagnoses","adhd,autism spectrum disorder,diagnosis,dsm,general anxiety disorder,major depressive disorder,mental health,obsessive compulsive disorder,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"46","14_Antisocial Behaviour Questionnaire (ASBQ)","antisocial,antisocial behaviour,apd,behavior,conduct disorder,delinquency,delinquent behaviour,externalizing problems,hostility,mental health,oppositional defiant disorder,psychiatry,psychology,psychopathy,social problems,violence","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"47","140_Pubertal Development Scale","development,health,hormones,life history,menarche,physiology,puberty,secondary sexual characteristics","1,1,1,1,1,1,1,1","Physiology,Health,Life history,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"48","141_Raisin task","cognition,development,experiment,self control","1,1,1,1","Personality and individual differences,Cognition,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"49","142_Relational Aggression Questionnaire","aggression,bullying,direct aggression,hostility,mental health,psychology,relational aggression,victimization","1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"50","143_Revised Child Anxiety and Depression Scale (RCADS)","anxiety,depression,developmental psychology,diagnosis,dsm,mdd,mental health,phobia,psychology","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"51","144_Revised Class Play","aggression,disruptive behavior,isolation,observation,play,school,sociability,social competence","1,1,1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"52","145_Rey’s Verbal Learning Test","cognition,intelligence,memory,verbal intelligence,vocabulary","1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"53","146_Rey-Osterrieth Complex Figure test","cognition,executive functioning,memory,spatial reasoning,visual perception","1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"54","147_School records","arithmetics,education,language,learning difficulties,life history,performance,school,sports","1,1,1,1,1,1,1,1","Life history,Demographics,Cognition,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"55","148_Self-Efficacy for Parenting Tasks Index (SEPTI-TS)","parenting,self efficacy","1,1","Parenting,Personality and individual differences,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"56","149_Self-Ordered Pointing Task (SOPT)","cognition,executive functioning,memory,working memory","1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"57","15_Approach-Avoidance Test (AAT)","temperament,attachement,cognition,personality,social competence","2,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"58","150_Self-Perception Profile for Children (SPPC)","behavior,mental health,self comptence,self esteem,self image,self perception","1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"59","151_Sexuality","contraception use,demographics,medication,risky behavior,sexual experience,sexuality","1,1,1,1,1,1","Life history,Demographics,Health,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"60","152_Short trips","culture,leisure time,life style,social behavior","1,1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"61","153_Shuttle run test","endurance,excercise,fitness,health,physiology","1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"62","154_Skinfold thickness","body fat,obesity,physiology","1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"63","155_Sleep and Settle Questionnaire (SSQ)","parenting,sleep,temperament","1,1,1","Personality and individual differences,Health,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"64","156_Social Media Disorder Scale","addiction,mental health,social media","1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"65","157_Social media use","leisure time,life style,social media","1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"66","158_Social Production Functions Questionnaire","mental health,psychology,relationships,self perception,social competence,wellbeing","1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"67","159_Social Skills Rating System","emphathy,self control,social behavior,social competence,social skills","1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"68","16_Asthma","asthma,diagnosis,health,lung,physical health","2,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"69","160_Social support","demographics,relationships,social competence,social support","1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"70","161_Social Support List (SSL)","companionship,demographics,interactions,relationships,self esteem,social competence,social support","1,1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"71","162_Socio-demographics","age,demographics,education,ethnicity,family composition,neighborhood,religion,sex,social economic status,work","1,1,1,1,1,1,1,1,1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"72","163_Socioeconomic status (SES)","demographics,education,income,neighborhood,profession,social economic status","1,1,1,1,1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"73","164_Strengths and Difficulties Questionnaire (SDQ)","adhd,aggression,behavior,diagnosis,externalizing behavior,internalizing behavior,mental health,prosocial behavior,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"74","165_Subjective stress-reactivity","anxiety,coping,experiment,moods,social stress,stress,subjective stress","1,1,1,1,1,1,1","mental health,Personality and individual differences,Health,NA","0.5,0.33,0.17,0","1,1,1,38",1,"TRAILS"
"75","166_Substance use","alcohol,cannabis,drugs,hard drugs,life style,smoking,soft drugs,substance use,tabacco,weed","1,1,1,1,1,1,1,1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"76","167_Survey Work-Home Interaction Nijmegen (SWING)","coping,demographics,interactions,stress,work,work-life-balance","1,1,1,1,1,1","Life history,Demographics,Personality and individual differences,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"77","168_Tanner Scale","development,health,puberty,secondary sexual characteristics","1,1,1,1","Physiology,Life history,Health,NA","0.5,0.33,0.17,0","1,1,1,39",1,"TRAILS"
"78","169_Teacher Report Form (TRF)","adhd,aggression,anxiety,depression,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"79","17_Baby movements","development,motor control,motor development,motro development","1,1,1,1","Physiology,Health,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"80","170_Temperament Profiles List","activity,adaptability,attachement,chronotype,persistance,personality,temperament","1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"81","171_The Capability Set for Work","demographics,development,morals,problem solving,satisfactiion,values,work,work-life-balance","1,1,1,1,1,1,1,1","Personality and individual differences,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"82","172_Time spending patterns","gaming,hobbies,leisure time,life style,screen time,social media,socializing,sports,transportation","1,1,1,1,1,1,1,1,1","Lifestyle,NA","1,0","1,39",1,"TRAILS"
"83","173_Traumatic childhood events","abuse,accidents,death,hospitalization,life events,life history,neglect,stress,trauma,violence","1,1,1,1,1,1,1,1,1,1","mental health,Life history,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"84","174_Turning Points Questionnaire","coping,life events,life history","1,1,1","Life history,NA","1,0","1,39",1,"TRAILS"
"85","175_Unemployment","demographics,employment,work","1,1,1","Life history,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"86","176_Utrecht Work Engagement Scale (UWES)","dedication,demographics,motivation,work","1,1,1,1","Personality and individual differences,Demographics,Life history,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"87","177_Utrechtse Burn-Out Schaal (UBOS)","burn-out,coping,exhaustion,mental health,psychology,stress","1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"88","178_Verbal Fluency Test","cognition,verbal intelligence,vocabulary","1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"89","179_Virginity loss","life history,sexual experience,sexual intercourse","1,1,1","Life history,NA","1,0","1,39",1,"TRAILS"
"90","18_Bangor Gambling Task","cognition,emotion regulation,gambling behaviour,problem solving,reward processing,risk seeking,social cognition","2,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"91","180_Waist and hip circumference","antropometrics,health,obesity,physiology","1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"92","181_Wechsler Adult Intelligence Scale (WAIS-III)","attention,cognition,executive functioning,intelligence,memory,non-verbal intelligenge,problem solving,spatial reasoning,verbal intelligence,vocabulary","1,1,1,1,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"93","182_Wechsler Intelligence Scale for Children (WISC-R)","attention,cognition,executive functioning,intelligence,memory,non-verbal intelligence,problem solving,spatial reasoning,verbal intelligence,vocabulary","1,1,1,1,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"94","183_WHO Disability Assessment Schedule 2.0 (WHODAS 2.0)","chronic disorders,disability,disease,handicaps,health,subjective health,wellbeing","1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"95","184_Work and health","demographics,health,work","1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"96","185_Work health balance","demographics,health,life history,work","1,1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"97","186_Work Role Functioning Questionnaire 2.0 (WRFQ 2.0)","demographics,functioning,health,wellbeing,work","1,1,1,1,1","Health,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"98","187_World Mental Health Composite International Diagnostic Interview (CIDI)","anxiety,conduct disorder,depression,diagnosis,interview,mental health,obsessive compulsive disorder,psychiatry,psychology,substance abuse","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"99","188_Youth Self-Report (YSR)","adhd,aggression,behavior,depression,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"100","19_Beck Anxiety Inventory (BAI)","anxiety,depression,diagnosis,dsm,internalizing problems,mental health,phobia,psychiatry,psychology","2,2,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"101","2_Achievement Goals and Beliefs about Success in Sport","goal orientation,excercise,motivation,optimism,physical activity,sport","2,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"102","20_Bio-electrical impedance","antropometrics,bmi,body characteristics,body fat,fat,muscle,muscle mass,obesity,physical health,physiology","1,1,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"103","21_Biomarkers","biomarkers,hormones,antibodies,biological samples,blood,infection,inflammation,lipids,neurotransmitters,oxidative stress,physiology","2,2,1,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"104","22_BIS/BAS Scale","behavioral inhibition,behavioural activation,behavioural inhibition,cognition,cognitive control,motivation,reward,reward sensitivity,risky behavior","1,1,1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"105","23_Body Perception Questionnaire","body satisfaction,anorexia,body image,body perception,bulimia,mental health,physical characteristics,self-perception,self esteem","2,1,1,1,1,1,1,1,1","Personality and individual differences,Physiology,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"106","24_Cannabis Use Problems Identification Test (CUPIT)","substance use,additction,cannabis,cannabis use,drug abuse,mental health,smoking,soft drug use,soft drugs,substance abuse,substance use disorder,weed","2,1,1,1,1,1,1,1,1,1,1,1","Health,mental health,NA","0.5,0.5,0","1,1,38",1,"TRAILS"
"107","25_Cardiovascular measures","cardiovascular health,blood pressure,cardiovascular disease,coronary artery disease,health,heart,heart rate,physical health,physiology","2,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"108","26_Care responsibilities","care responsibilities,child care,demographics,parenting","1,1,1,1","Demographics,Parenting,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"109","27_Career and family planning","demographics,work,work-life-balance","1,1,1","Demographics,NA","1,0","1,39",1,"TRAILS"
"110","28_Caregiver-Teacher Report Form (C-TRF)","mental health,adhd,anxiety,attention,depression,diagnosis,dsm,emotion,externalizing problems,internalizing problems,psychiatric symptoms,psychiatry,psychology,symptoms","2,1,1,1,1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"111","29_Child Behaviour Checklist (CBCL/6-18)","adhd,aggression,behavior,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"112","3_ADHD DSM-IV Questionnaire ","adhd,hyperactivity,attention,diagnosis,externalizing problems,impulsivity,impulstivity,inattention,mental health,psychiatry,psychology","2,2,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"113","30_Child Behaviour Checklist Preschool (CBCL/1½-5)","adhd,aggression,behavior,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"114","31_Childhood Executive Functioning Inventory (CHEXI)","cognition,executive functioning,attention,cogntive control,inhibition,memory,planning,problem solving,spatial reasoning","2,2,1,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"115","32_Children’s Behavior Questionnaire (CBQ)","behavior,depression,impulsivity,inhibition,personality,temperament","1,1,1,1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"116","33_Children’s Social Behavior Questionnaire (CSBQ)","asd,autism,behavior,mental health,prosocial behavior,psychiatry,psychology,social behavior,social cognition,theory of mind","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"117","34_Chronic conditions","chronic conditions,chronic fatigue syndrome,diabetes,diagnosis,diseases,fibromyalgia,health,irritable bowel syndrome,physical health","2,1,1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"118","35_Columbia Impairment Scale (CIS)","disability,friendships,impairment,psychology,relationships,social adaptability,support","1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"119","36_Common health problems","accidents,asthma,diabetes,diagnosis,health,surgery,therapy,treatment","1,1,1,1,1,1,1,1","Health,NA","1,0","1,39",1,"TRAILS"
"120","37_Community Assessment of Psychic Experiences (CAPE)","depression,diagnosis,mental health,personality disorders,psychiatry,psychology,psychosis,schizophrenia,thought problems","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"121","38_Conflict in Adolescent Dating Relationships Inventory (CADRI)","abuse,aggression,anger,conflict,hostility,neglect,relationships,romantic relationships,threatening behavior","1,1,1,1,1,1,1,1,1","Social competence,Life history,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"122","39_Conflict Tactics Scale","abuse,aggression,anger,conflict,corporeal punsihment,hostility,parent-child relationships,parenting,relationships,violence","1,1,1,1,1,1,1,1,1,1","Social competence,Life history,Parenting,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"123","4_Adolescent Cognitive Style Questionnaire (ACSQ)","depression,anxiety,cognitive vulnerability,coping,diagnosis,psychology,stress","2,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"124","40_Confusion, Hubbub, and Order Scale (CHAOS)","clutter,demographics,family functioning,neglect,noise,organization,parent-child relationships,parenting","1,1,1,1,1,1,1,1","Parenting,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"125","41_Copenhagen Psychosocial Questionnaire (COPSOQ)","coping,demographics,development,problem solving,work","1,1,1,1,1","Demographics,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"126","42_Cortisol","biological sample,biomarker,glucocorticoid,hormone,omics,physiology,saliva,steroid hormones,stress","1,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"127","43_Danish Psychosocial Questionnaire (DPQ)","conflict,demographics,problem solving,relationships,social competence,work","1,1,1,1,1,1","Demographics,Life history,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"128","44_Depression Anxiety Stress Scale (DASS)","anxiety,coping,depression,diagnosis,mental health,phobia,psychiatry,psychology,stress","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"129","45_Depression Impairment Scale for Parents (DISP)","anxiety,coping,depression,diagnosis,mental health,psychiatry,psychology,stress,wellbeing","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"130","46_Derryberry and Reed Task","attention,cognition,inhibition,social cognition","1,1,1,1","Cognition,NA","1,0","1,39",1,"TRAILS"
"131","47_Developmental history","birth,day care,development,gestational age,health,life history,pregnancy,toilet training","1,1,1,1,1,1,1,1","Life history,Health,Physiology,NA","0.5,0.25,0.25,0","1,1,1,39",1,"TRAILS"
"132","48_Developmental milestones","development,health,milestones,motor,physiology","1,1,1,1,1","Life history,Physiology,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"133","49_Diagnostic Infant and Preschool Assessment (DIPA)","adhd,attention,diagnosis,hyperactivity,impulsivity,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"134","5_Adult Behaviour Checklist (ABCL)","adhd,aggresion,behavior,depression,diagnosis,dsm,externalizing behavior,externalizing problems,internalizing behavior,internalizing problems,mental health,psychiatric symptoms,psychiatry,psychology","1,1,1,1,1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"135","50_Discrimination ","demographics,discrimination,life event,minority","1,1,1,1","Life history,Demographics,NA","0.67,0.33,0","1,1,39",1,"TRAILS"
"136","51_Disruptive Behavior Diagnostic Observation Schedule (DB-DOS)","aggression,anger,disruptive behavior,externalizing behavior,hostility,mental health,oberservation,psychiatry,psychology,self control","1,1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
"137","52_DNA","dna,genes,genetics,genomics,gwas,omics,pgs,polygenic risk scores,prs,snps","1,1,1,1,1,1,1,1,1,1","Physiology,NA","1,0","1,39",1,"TRAILS"
"138","53_Drinking Motive Questionnaire Revised (DMQ-R)","addiction,alcohol,drinking,life style,peer pressure,substance abuse,substance use","1,1,1,1,1,1,1","Lifestyle,Personality and individual differences,NA","0.5,0.5,0","1,1,39",1,"TRAILS"
"139","54_Early Adolescent Temperament Questionnaire Revised (EATQ-R)","personality,temperament","1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"140","55_Early Childhood Behavior Questionnaire (ECBQ)","behavior,personality,temperament","1,1,1","Personality and individual differences,NA","1,0","1,39",1,"TRAILS"
"141","56_Early Social Communication Scales (ESCS)","attention,cognition,relationhips,social attention,social behavior,social competence,social interaction","1,1,1,1,1,1,1","Social competence,NA","1,0","1,39",1,"TRAILS"
"142","57_Eating Disorder Diagnostic Scale (EDDS)","anorexia,binge-eating,bulimia,diagnosis,eating disorder,health,mental health,psychiatry,psychology","1,1,1,1,1,1,1,1,1","mental health,Health,NA","0.67,0.33,0","1,1,38",1,"TRAILS"
