"","Instrument_name","Keywords","Keyword_count","Categories","Priority_scores","Times_mentioned","Respondents","Cohort"
"34","4_Alabama Parenting Questionnaire (APQ)","parenting,discipline,involvement,monitoring,parent-child relationship,parental control,parenting style","2,1,1,1,1,1,1","Parenting,Lifestyle,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"35","40_Hand Game","inhibition,behavioral control,cognition,cognitive control,self control,self regulation","2,1,1,1,1,1","Cognition,Personality and individual differences,self regulation,cognitive control,NA","0.58,0.17,0.17,0.08,0","2,1,1,1,37",2,"YOUth"
"36","41_Infant Behavior Questionnaire Revised (IBQ-R)","personality,temperament,behavior,development,emotion regulation,infant behavior,psychology,responsiveness,social behavior","2,2,1,1,1,1,1,1,1","Personality and individual differences,child behavior,NA","0.83,0.17,0","2,1,38",2,"YOUth"
"37","42_Infant Face Popout","development,experiment,eye tracking,eyetracking,gaze behavior,object processing,social attention,visual attention","1,1,1,1,1,1,1,1","Cognition,Social competence,visual attention,Personality and individual differences,NA","0.53,0.32,0.1,0.05,0","2,2,1,1,38",2,"YOUth"
"38","43_Infant Pro Gap","attention,development,eye tracking,eyetracking,gaze behavior,visual attention","1,1,1,1,1,1","Cognition,behavior,Personality and individual differences,NA","0.67,0.25,0.08,0","2,1,1,38",2,"YOUth"
"39","44_Infant Social Gaze","social attention,experiment,eye tracking,eyetracking,gaze behavior,gaze cueing,social gaze,visual attention","2,1,1,1,1,1,1,1","Cognition,Social competence,visual attention,social behavior,NA","0.38,0.32,0.2,0.1,0","2,2,1,1,37",2,"YOUth"
"40","45_Inhibition experiment (mock scanner)","inhibition,behavioral control,brain imaging,cognitive control,experiment,fmri,functional brain imaging,imaging,mock experiment,mri,self regulation","2,1,1,1,1,1,1,1,1,1,1","Cognition,self regulation,Personality and individual differences,NA","0.67,0.25,0.08,0","2,1,1,38",2,"YOUth"
"41","46_Interpersonal Reactivity Index (IRI)","empathy,social competence,interpersonal reactivity,perspective taking,relationships,social cognition,theory of mind","2,2,1,1,1,1,1","Social competence,Personality and individual differences,Cognition,NA","0.58,0.33,0.08,0","2,2,1,39",2,"YOUth"
"42","47_Labour and birth","birth,labour,pregnancy,complications,gestational age,life history","2,2,2,1,1,1","Health,Life history,pregnancy,NA","0.58,0.25,0.17,0","2,1,1,38",2,"YOUth"
"43","48_Length, head circumference, weight and vaccinations","antropometrics,health,medical history,development,medical information,vaccinations","2,2,2,1,1,1","Health,Physiology,medical history,NA","0.42,0.42,0.17,0","2,2,1,38",2,"YOUth"
"44","49_Lifestyle","lifestyle,medication,sleep,addiction,diet,excercise,exercise,health,nutrition,physical activity,smoking,sport,substance abuse,substance use,supplements,vitamins","2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1","Lifestyle,Health,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"45","5_Anatomy experiment (MRI)","anatomy,mri,body composition,brain development,brain scanning,imaging,physiology,structural imaging","2,2,1,1,1,1,1,1","Physiology,Health,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"46","50_Lifestyle - Substance (ab)use","lifestyle,substance abuse,addiction,alcohol,cannabis,drinking,health,smoking,soft drugs,substance use,tabacco","2,2,1,1,1,1,1,1,1,1,1","Health,Lifestyle,NA","0.5,0.5,0","2,2,39",2,"YOUth"
"47","51_Lifestyle during pregnancy (DEMO, LFST)","diet,medication,nutrition,pregnancy,food preference,health,life history,lifestyle,supplements,vitamins","2,2,2,2,1,1,1,1,1,1","Lifestyle,Health,pregnancy,Life history,NA","0.33,0.29,0.25,0.12,0","2,2,1,1,38",2,"YOUth"
"48","52_List of longterm stressful life events","life events,stress,abuse,accident,coping,death,family history,health,neglect,trauma","2,2,1,1,1,1,1,1,1,1","Life history,Health,mental health,Lifestyle,NA","0.58,0.17,0.17,0.08,0","2,1,1,1,38",2,"YOUth"
"49","53_Looking While Listening","attention,experiment,eyetracking,gaze,gaze behavior,language,language acquisition,social attention,visual attention","1,1,1,1,1,1,1,1,1","Cognition,Social competence,NA","0.67,0.33,0","2,2,39",2,"YOUth"
"50","54_Major life events","life events,abuse,accident,coping,death,family history,hospitalization,life history,life histroy,neglect,personal life,stres,trauma","2,1,1,1,1,1,1,1,1,1,1,1,1","Life history,mental health,NA","0.83,0.17,0","2,1,38",2,"YOUth"
"51","55_Media use","gaming,social media,addiction,internet,life style,media use","2,2,1,1,1,1","Lifestyle,NA","1,0","2,39",2,"YOUth"
"52","56_Movies and series (FVL-2)","life style,lifestyle,media use,preferences,screen time,sedentary behavior,tv,tv watching","1,1,1,1,1,1,1,1","Lifestyle,NA","1,0","2,39",2,"YOUth"
"53","57_NEO-Five Factor Inventory-3(NEO-FFI-3)","personality,agreeableness,big five,conscientiousness,extraversion,intraversion,neuroticism,risk seeking","2,1,1,1,1,1,1,1","Personality and individual differences,NA","1,0","2,39",2,"YOUth"
"54","58_Network Relationships Inventory - Short Form - Parent report (NRI-SF parent report)","friendships,parent-child relationship,peers,relationship quality,relationships,sibling interactions,social competence,social environment,social interaction,social network","1,1,1,1,1,1,1,1,1,1","Social competence,Parenting,social environment,social network,NA","0.33,0.25,0.25,0.17,0","1,2,1,1,37",2,"YOUth"
"55","59_Network Relationships Inventory - Short Form (NRI-SF)","friendships,parent-child relationship,peers,relationship quality,relationships,sibling interactions,social behavior,social competence,social environment,social interaction,social network","1,1,1,1,1,1,1,1,1,1,1","Social competence,social relations,Parenting,social network,NA","0.5,0.25,0.17,0.08,0","2,1,1,1,37",2,"YOUth"
"56","6_Behavior Questionnaire (IBQ-R SF, ECBQ, CBQ, TMCQ)","behavioral control,emotion regulation,temperament,behavior,child behavior,mental health,personality,psychology","2,2,2,1,1,1,1,1","Personality and individual differences,Social competence,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"57","60_Nijmeegse Opvoedvragenlijst (NOV)","parenting,affection,dicipline,discipline,parent-child relationship,parental behavior,parental control,parenting strategies","2,1,1,1,1,1,1,1","Parenting,NA","1,0","2,39",2,"YOUth"
"58","61_Nijmeegse Ouderlijke Stress Index (NOSI)/Parental Stress Index (PSI) - subscale Acceptance","parenting,stress,acceptance,coping,parent-child interaction,parental behavior,relationship quality","2,2,1,1,1,1,1","Parenting,Social competence,Life history,mental health,NA","0.58,0.17,0.12,0.12,0","2,1,1,1,38",2,"YOUth"
"59","62_Nijmeegse Ouderlijke Stress Index (NOSI)/Parental Stress Index (PSI) - subscale Sense of competence","competence,parenting,stress,coping,parental behavior","2,2,2,1,1","Parenting,Social competence,Life history,mental health,Personality and individual differences,NA","0.52,0.17,0.12,0.12,0.06,0","2,1,1,1,1,38",2,"YOUth"
"60","63_Parent child interaction (PCI)","conflict,cooperation,coping,experiment,parent-child interaction,parent-child interactions,parent-child relationships,parental behavior,parenting,stress","1,1,1,1,1,1,1,1,1,1","Parenting,Social competence,Personality and individual differences,NA","0.75,0.17,0.08,0","2,1,1,39",2,"YOUth"
"61","64_Parent child interaction (PCI) Conflict","conflict,parent-child interaction,child compliance,conflict resolution,observation,parent-child relationship,parental strategies,parenting,problem solving,social competence","2,2,1,1,1,1,1,1,1,1","Parenting,Social competence,Personality and individual differences,social behavior,interpersonal interaction,NA","0.67,0.13,0.1,0.07,0.03,0","2,1,1,1,1,37",2,"YOUth"
"62","65_Parent child interaction (PCI) Vacation","parent-child interaction,child compliance,communication,cooperation,leisure time,parent-child relationship,parental behavior,parenting,relationship quality","2,1,1,1,1,1,1,1,1","Parenting,Social competence,Personality and individual differences,social behavior,NA","0.65,0.2,0.1,0.05,0","2,1,1,1,38",2,"YOUth"
"63","66_Parental Control Scale (PCS)","parenting,behavioral control,control,parent-child relationship,parental behavior,parental control,self efficacy","2,1,1,1,1,1,1","Parenting,NA","1,0","2,39",2,"YOUth"
"64","67_Parenting Dimensions Inventory (PDI)","discipline,parenting,parental behavior,parental control,values","2,2,1,1,1","Parenting,NA","1,0","2,39",2,"YOUth"
"65","68_Peabody Picture Vocabulary Task (PPVT)","language,vocabulary,cognition,development,intelligence,receptive vocabulary,verbal intelligence","2,2,1,1,1,1,1","Cognition,Social competence,language,NA","0.75,0.17,0.08,0","2,1,1,38",2,"YOUth"
"66","69_Penn emotion recognition test","emotion recognition,social cognition,cognition,experiment","2,2,1,1","Cognition,Social competence,Personality and individual differences,NA","0.5,0.42,0.08,0","2,2,1,39",2,"YOUth"
"67","7_Behavioral inhibition scale (BIS) and risk behavior (substance (ab)use)","impulsivity,inhibition,self control,substance abuse,addiction,behavior,behavioral control,cognitive control,lifestyle,personality,risk behavior,risk seeking,risky behavior,self regulation,substance use","2,2,2,2,1,1,1,1,1,1,1,1,1,1,1","Personality and individual differences,Lifestyle,Cognition,behavioral control,temperament,self regulation,NA","0.48,0.19,0.12,0.1,0.07,0.05,0","2,2,1,1,1,1,36",2,"YOUth"
"68","70_Penn motor praxis test","attention,cognition,development,executive functioning,motor development,motor functioning,motor praxis,sensimotor ability","1,1,1,1,1,1,1,1","Cognition,behavior,Physiology,sensimotor,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,37",2,"YOUth"
"69","71_Penn word memory test","cognition,memory,attention,executive functioning,inhibition,intelligence,language,verbal intelligence,verbal memory","2,2,1,1,1,1,1,1,1","Cognition,NA","1,0","1,39",1,"YOUth"
"70","72_Penn word memory test delay","memory,attention,cognition,inhibition,intelligence,language,verbal intelligence,verbal memory,vocabulary,word memory","2,1,1,1,1,1,1,1,1,1","Cognition,NA","1,0","2,39",2,"YOUth"
"71","73_Periconceptual health","health,pregnancy,birth,congenial disorders,diseases,gestational age,medical history,periconceptual health","2,2,1,1,1,1,1,1","Health,Life history,pregnancy,NA","0.67,0.17,0.17,0","2,1,1,38",2,"YOUth"
"72","74_Personal values questionnaire (PVQ-RR)","values,morals,personal values,personality,social competence","2,1,1,1,1","Personality and individual differences,NA","1,0","2,39",2,"YOUth"
"73","75_Portrait values questionnaire - revised (PVQ-RR)","values,morals,personal values,personality","2,1,1,1","Personality and individual differences,NA","1,0","2,39",2,"YOUth"
"74","76_Pubertal development scale (PDS)","adolescence,development,health,physiology,pubertal development,puberty,secondary sexual characteristics,sex characteristics","1,1,1,1,1,1,1,1","Health,Life history,Physiology,development,NA","0.33,0.33,0.25,0.08,0","2,2,1,1,38",2,"YOUth"
"75","77_Quick Big Five (QBF)","personality,agreeableness,big five,extroversion,introversion,neuroticism,risk seeking","2,1,1,1,1,1,1","Personality and individual differences,NA","1,0","2,39",2,"YOUth"
"76","78_Reading behavior (FVL-1)","reading,behavior,cognition,development,language,reading behavior,reading skills,vocabulary","2,1,1,1,1,1,1,1","Cognition,Lifestyle,Personality and individual differences,NA","0.5,0.33,0.17,0","2,1,1,39",2,"YOUth"
"77","79_Resting state experiment (rsMRI)","imaging,mri,brain development,brain functioning,brain imaging,functional imaging,physiology,resting state,structural imaging","2,2,1,1,1,1,1,1,1","Physiology,NA","1,0","2,39",2,"YOUth"
"78","8_Blood","biological sample,biomarkers,blood,genetics,omics,physiology,venapuncture","2,1,1,1,1,1,1","Physiology,biological samples,NA","0.83,0.17,0","2,1,38",2,"YOUth"
"79","80_Sleep self report (SSR)","sleep,behavior,chronotype,insomnia,sleep behavior","2,1,1,1,1","Health,Personality and individual differences,Lifestyle,NA","0.5,0.33,0.17,0","2,1,1,39",2,"YOUth"
"80","81_Social Responsiveness Scale for Adults (SRS-A)","autism,asd,autistic traits,diagnosis,mental health,personality,psychiatry,psychology,social competence,social responsiveness,theory of mind","2,1,1,1,1,1,1,1,1,1,1","Personality and individual differences,Social competence,mental health,Health,NA","0.33,0.33,0.25,0.08,0","2,2,1,1,38",2,"YOUth"
"81","82_Social Support List (SSL)","companionship,emotional support,financial support,friendships,peers,relationships,social competence,social environment,social support","1,1,1,1,1,1,1,1,1","Social competence,social environment,social network,NA","0.5,0.33,0.17,0","1,1,1,37",2,"YOUth"
"82","83_Spoken language in child's environment and Clinical Evaluation of Language Fundamentals (CELF-4 pragmatics)","language,cognition,development,ethnicity,language acquisition,language development,language skills,pragmatics,verbal intelligence","2,1,1,1,1,1,1,1,1","Demographics,environment,Cognition,Life history,NA","0.5,0.25,0.17,0.08,0","2,1,1,1,38",2,"YOUth"
"83","84_Strengths and difficulties questionnaire (SDQ)","adhd,aggression,anxiety,depression,developmental psychology,diagnosis,mental health,personal competence,personality,prosocial behavior,psychiatry,psychology,self identity,self perception,social competence","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","Personality and individual differences,mental health,Health,Social competence,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,38",2,"YOUth"
"84","85_Teacher Report Form (TRF)","academic performance,adhd,aggression,behavior,developmental psychology,diagnosis,externalizing behavior,internalizing behavior,mental health,problem behavior,psychology,psyhiatry,school,skills,teacher","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","mental health,Health,Personality and individual differences,Social competence,NA","0.33,0.25,0.25,0.17,0","1,2,1,1,38",2,"YOUth"
"85","86_The Children's Behavior Questionnaire (CBQ)","personality,temperament,affect,behavior,effortful control,extraversion,introversion,middle childhood,psychology","3,2,1,1,1,1,1,1,1","Personality and individual differences,Social competence,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"86","87_The Early Childhood Behavior Questionnaire (ECBQ)","personality,temperament,behavior,development,early childhood,emotion regulation,psychology,responsiveness","2,2,1,1,1,1,1,1","Personality and individual differences,Social competence,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"87","88_The Temperament in Middle Childhood Questionnaire (TMCQ)","personality,temperament,affect,behavior,effortful control,emotion regulation,extraversion,introversion,middle childhood,self regulation","2,2,1,1,1,1,1,1,1,1","Personality and individual differences,Social competence,Cognition,NA","0.75,0.17,0.08,0","2,1,1,39",2,"YOUth"
"88","89_Trust game","prosocial behavior,social cognition,social competence,trust,cognition,experiment,social behavior","2,2,2,2,1,1,1","Social competence,Personality and individual differences,Cognition,NA","0.67,0.17,0.17,0","2,1,1,39",2,"YOUth"
"89","9_Brief Symptom Inventory (BSI)","health,symptoms,depression,diseases,medical care,medical history,psychopathology","2,2,1,1,1,1,1","Health,Personality and individual differences,mental health,Life history,NA","0.7,0.15,0.1,0.05,0","2,1,1,1,38",2,"YOUth"
"90","90_Utrechtse Coping Lijst (UCL)","coping,stress,emotion regulation,life events,problem solving","2,2,1,1,1","Health,mental health,Personality and individual differences,Life history,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,38",2,"YOUth"
"91","91_Wechsler Adult Intelligence Scale (WAIS) ","cognition,intelligence,attention,executive functioning,executive functions,iq,memory,non-verbal intelligence,problem solving,spatial reasoning,verbal intelligence","2,2,1,1,1,1,1,1,1,1,1","Cognition,Personality and individual differences,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"92","92_Wechsler Intelligence Scale for Children (WISC-III) ","cognition,executive functioning,intelligence,attention,iq,memory,non-verbal intelligence,problem solving,reasoning,spatial reasoning,verbal intelligence","2,2,2,1,1,1,1,1,1,1,1","Cognition,Personality and individual differences,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"93","93_Wechsler Preschool and Primary Scale of Intelligence (WPPSI)","cognition,intelligence,problem solving,attention,executive functioning,iq,memory,non-verbal intelligence,spatial reasoning,verbal intelligence","2,2,2,1,1,1,1,1,1,1","Cognition,Personality and individual differences,NA","0.83,0.17,0","2,1,39",2,"YOUth"
"94","94_Work demographics","demographics,work,lifestyle,occupation,ses","2,2,1,1,1","Demographics,Lifestyle,Life history,NA","0.75,0.17,0.08,0","2,1,1,39",2,"YOUth"
