"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"11","19_Competentie belevingsschaal - Adolescent (CBSA)","behavioral problems,self-identity,self-perception,social competence,,adolescent behavioral tendencies q.,adolescent daily life,adolescent emotional problems questionnaire,adolescent emotions,adolescent environment,adolescent lifestyle,adolescent school environment,adolescent self-perception,adolescent self-worth,adolescent skills,adolescent sports,adolescents,adolscent  social competence,adolscent self-identity,cbsa,competencies,emotion regulation,emotional problems,questionnaire,self-esteem,self-report,self-worth,skills,social skills","2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",4,"Social and emotional development,Personality,Mental health,Social cognition and behavior,Lifestyle,adolescent emotional development,NA","0.58,0.19,0.09,0.08,0.03,0.02,0","4,3,2,1,1,1,110",4
"12","2_Gender Identity (GI) questionnaire","demographics,gender,gender development,identity","1,1,1,1",2,"Social cognition and behavior,Demographics,gender development,questionnaire,NA","0.5,0.2,0.2,0.1,0","1,1,1,1,109",2
"13","20_Comprehensive Early Childhood Parenting Questionnaire (CECPAQ)","parental support,responsiveness,affect,affection,behavior parents questionnare,cecpaq,discipline,early childhood,interactie met jong kind,opvoedgedrag ouders,opvoedklimaat,parental behavior,structure","2,2,1,1,1,1,1,1,1,1,1,1,1",2,"Parenting,Social and emotional development,opvoedgedrag,opvoedklimaat,Personality,ouder-kind interactie,NA","0.39,0.17,0.14,0.14,0.08,0.07,0","2,1,1,1,1,1,108",2
"14","21_Cordblood","biological sample,dna,genetics,physiology","1,1,1,1",1,"Physiology,Physical health,NA","0.67,0.33,0","1,1,111",1
"15","22_Cyberball","empathy,ostracism,prosocial behavior,social competence,social exclusion,social skills","1,1,1,1,1,1",1,"Social cognition and behavior,Personality,Social and emotional development,NA","0.5,0.25,0.25,0","1,1,1,111",1
"16","23_Daily care","avond routine,caretaking,dagritme,dagschema,daily care,ochtend routine,ritme,routine,slaap en waak ritme,slaap ritme,verzorging,voeding","1,1,1,1,1,1,1,1,1,1,1,1",1,"Parenting,Lifestyle,daily routine,NA","0.33,0.33,0.33,0","1,1,1,110",1
"17","24_Demographics","background,demographics","1,1",1,"Demographics,NA","1,0","1,111",1
"18","25_Diffusion Tensor Imaging (DTI)","mri,brain,brain tissue,imaging,brain anatomy,brain development,brain functions,brain image,brain scan,brain structure,central nervous system,diffusion weighted imaging,dti,dwi,interaction,microstructure,microstructure of brain,mri scan,myelin,neural axons,neural development,neural networks,scan,tissue,white matter","3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Physiology,neurology,Physical health,brain,brain structure,Mental health,the brain,imaging,NA","0.41,0.17,0.11,0.1,0.07,0.06,0.06,0.03,0","3,1,1,1,1,1,1,1,106",3
"19","26_Discount (Delay Gratification)","behavioral control,inhibition,cognitive control,coping,coping behavior,delay gratification,delay of gratification,delayed gratification,effortful control,experiment,gift,marshmallow task,paradigm,patience,pleasant","2,2,1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Cognition,delay of gratification (paradigm),development of behavioral control,coping (behavior),Personality,behavioral control,Social and emotional development,Mental health,NA","0.35,0.17,0.11,0.11,0.08,0.08,0.06,0.04,0","2,1,1,1,1,1,1,1,107",3
"20","27_Early adolescent temperament questionnaire - revised (EATQ-R)","personality,adolescents,coping,emotions,problem behavior,psychopathology,questionnaire,social competence,temperament","2,1,1,1,1,1,1,1,1",2,"Personality,Social and emotional development,Mental health,Social cognition and behavior,coping,temperament,NA","0.42,0.18,0.17,0.13,0.07,0.03,0","2,2,1,1,1,1,109",2
"21","28_Echo/3D Ultrasound","","",0,"NA","NaN","111",0
"22","29_Edinburgh Postnatal Depression Scale (EPDS)","depression,baby blues,depressive symptoms,eerst 1000 dagen,emotionele gezondheid ouder,epds,hechting ouder-kind,kop (kinderen van ouders met psychische problemen),opvoedklimaat,ouder-kind interactie,parent,parenthood,parents,postnatal,postnatal depression,postnatale depressie,psychopathology,questionnaire,scale,self-report,symptoms","2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Mental health,Physical health,Parenting,postnatal,Physiology,Social and emotional development,questionnaire,NA","0.6,0.12,0.12,0.05,0.04,0.04,0.02,0","4,2,2,1,1,1,1,109",4
"23","3_Adult Self Report (ASR)","psychopathology,adults,mental health","2,1,1",2,"Mental health,Personality,adulthood,Social and emotional development,questionnaire,NA","0.5,0.17,0.17,0.08,0.08,0","2,1,1,1,1,109",2
"24","30_EEG coherence","brain,eeg,neuroimaging,passive watching","1,1,1,1",1,"Physiology,brain activity,Cognition,Social cognition and behavior,Social and emotional development,NA","0.29,0.29,0.14,0.14,0.14,0","1,1,1,1,1,110",1
"25","31_EEG Face Emotion","brain,eeg,emotion recognition,neuroimaging,social competence,task","1,1,1,1,1,1",1,"Physiology,brain activity,Social and emotional development,Social cognition and behavior,Cognition,NA","0.29,0.29,0.21,0.14,0.07,0","1,1,1,1,1,110",1
"26","32_EEG Face House","face processing,neural processing","1,1",1,"Social cognition and behavior,Physiology,neural processing,experiment,NA","0.38,0.25,0.25,0.12,0","1,1,1,1,109",1
"27","33_Family illness - Medical & Psychiatric","health,psychiatric symptoms,children,family members,first-degree family,illness,medical history,medical symptoms,mental health,parents,physical health,problems,psychiatry,psychopathology,questionnaire,self-report,symptoms","2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"Physical health,Mental health,Physiology,Life history,Demographics,Lifestyle,NA","0.37,0.33,0.1,0.1,0.07,0.03,0","2,2,1,1,1,1,111",2
"28","34_Food Frequency Questionnaire (FFQ) - Pregnancy","diet pattern during pregnancy,eating,eating environment during pregnancy,ffq,food,food intake during pregnancy,food lifestyle during pregnancy,meal composition during pregnancy,pregnancy","1,1,1,1,1,1,1,1,1",2,"Lifestyle,Physiology,Physical health,NA","0.78,0.11,0.11,0","3,1,1,111",3
"29","35_Food Frequency Questionnaire (FFQ) - Youth","","",0,"NA","NaN","111",0
"30","36_Functional MRI Inhibition experiment","behavioral control,brain development,cognitive control,effortful control,imaging,inhibition,mri,neural develoment","1,1,1,1,1,1,1,1",1,"Cognition,behavioral control,Physiology,NA","0.4,0.4,0.2,0","1,1,1,110",1
"31","37_General health","","",0,"NA","NaN","111",0
"32","38_Hair","biological sample,cortisol,physiology,stress","1,1,1,1",1,"Physiology,Physical health,NA","0.83,0.17,0","2,1,111",2
"33","39_Hand Game","behavioral control,inhibition,early childhood,hand gesture,non-verbal inhibitory control young children,self-regulation,the hand game,variation of luria’s hand game task","2,2,1,1,1,1,1,1",3,"Cognition,Social cognition and behavior,behavior,behavioral control,self-regulation,experiment,early childhood,NA","0.33,0.17,0.17,0.11,0.11,0.07,0.04,0","2,1,1,1,1,1,1,106",3
"34","4_Ages and Stages Questionnaire - Social Emotional (ASQ-SE)","childhood,social-emotional development,social and emotional development","1,1,1",2,"Social and emotional development,childhood,questionnaire,NA","0.75,0.17,0.08,0","2,1,1,109",2
"35","40_Infant Behavior Questionnaire Revised (IBQ-R)","infant,temperament,behavioral development,social emotional development","2,2,1,1",2,"Personality,temperament/personality,Social and emotional development,questionnaire,infancy,NA","0.33,0.25,0.17,0.17,0.08,0","1,1,1,1,1,108",2
"36","41_Infant Face Popout","attention,infancy","1,1",1,"Physiology,Cognition,infancy,experiment,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,109",1
"37","42_Infant Pro Gap","","",0,"NA","NaN","111",0
"38","43_Infant Social Gaze","attention,social processing","1,1",1,"Physiology,Social cognition and behavior,attention,experiment,infancy,NA","0.25,0.25,0.25,0.12,0.12,0","1,1,1,1,1,108",1
"39","44_Inhibition experiment (mock scanner)","behavioral control,fmri,frontal lobe,functional mri,inhibition,practice,stop process","1,1,1,1,1,1,1",1,"Cognition,brain functioning,Physiology,NA","0.5,0.33,0.17,0","1,1,1,110",1
"40","45_Interpersonal Reactivity Index (IRI)","compassie,empathy,emphatic concern,fantasy,feelings,interpersonal reactivity index,iri,personal distress,perspective taking","1,1,1,1,1,1,1,1,1",1,"Personality,Social cognition and behavior,Social and emotional development,Lifestyle,NA","0.33,0.33,0.22,0.11,0","1,1,1,1,111",1
"41","46_Labour and birth","birth,pregnancy,a term,apgar score,bevaltrauma,borstvoeding,childbirth,duration pregnancy,early child birth,keizersnede,labour questionnaire,mentale en lichamelijke gezondheid moeder en baby,prematuur,thuis of ziekenhuis bevalling","2,2,1,1,1,1,1,1,1,1,1,1,1,1",2,"Physiology,zwangerschap,pre en postnatale periode,NA","0.5,0.33,0.17,0","1,1,1,109",2
"42","47_Length, head circumference, weight and vaccinations","anthropometry,body meassures,body measures,growth,medical data,medical information,physical characteristics,physical data,physical information","1,1,1,1,1,1,1,1,1",4,"Physical health,Physiology,physical database,physical growth/development,NA","0.5,0.33,0.1,0.07,0","3,2,1,1,109",5
"43","48_Lifestyle (DEMO, LFST).","lifestyle,addiction,adversity,alcohol,daily life,drugs,exposure,habits,health,illness,medication use,pregnancy,problems,questionnaire,self-report,sickness,smoking,substance abuse","2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"Lifestyle,Physical health,Mental health,Physiology,NA","0.4,0.35,0.15,0.1,0","2,2,2,1,111",2
"44","49_List of longterm stressful life events","life events,stress,chronic,demographics,longterm,questionnaire,self-report,strain,stressful life events,stressor","2,2,1,1,1,1,1,1,1,1",3,"Life history,Demographics,stress,Mental health,questionnaire,Physical health,NA","0.5,0.13,0.13,0.11,0.07,0.06,0","2,1,1,1,1,1,109",3
"45","5_Alabama Parenting Questionnaire (APQ)","parenting,discipline,parental involvement,questionnaire","2,1,1,1",2,"Parenting,NA","1,0","3,111",3
"46","50_Looking While Listening","looking behavior,visual processing,attention,eye tracking,eyetracking,images,language,language development,language processing,objects,saccades,viewing behavior,visual world paradigm,words","2,2,1,1,1,1,1,1,1,1,1,1,1,1",3,"Cognition,Social cognition and behavior,Social and emotional development,neural processing,eyetracking,looking behavior,experiment,NA","0.3,0.26,0.11,0.11,0.1,0.07,0.06,0","2,2,1,1,1,1,1,107",3
"47","51_Major life events","life events,stress,adversity,demographics,trauma","2,2,1,1,1",3,"Life history,stress,Demographics,Mental health,environmental factors ,questionnaire,NA","0.42,0.22,0.13,0.08,0.08,0.07,0","2,2,1,1,1,1,107",3
"48","52_Media use","gaming,media use,social media,computer games,games,online behaviour,online connection,social media use","2,2,2,1,1,1,1,1",3,"Lifestyle,media  use,Social cognition and behavior,Personality,media lifestyle,NA","0.33,0.33,0.17,0.11,0.06,0","2,1,1,1,1,109",3
"49","53_Movies and series (FVL-2)","media use,demographics,media behavior,media preference","2,1,1,1",2,"media use,Lifestyle,Demographics,Personality,questionnaire,NA","0.47,0.22,0.13,0.11,0.07,0","2,1,1,1,1,108",3
"50","54_NEO-Five Factor Inventory-3 (NEO-FFI-3)","personality,big five (?)","2,1",2,"Personality,questionnaire,NA","0.89,0.11,0","3,1,110",3
"51","55_Network Relationships Inventory - Short Form (NRI-SF)","parenting,band met omgeving,kwaliteit omgevingsrelaties,network relationships inventory,nri-sf,relations,relationship quality,relationships,siblings,social environment,social network,social relations","2,1,1,1,1,1,1,1,1,1,1,1",4,"Social and emotional development,Parenting,relations,Social cognition and behavior,social environment,NA","0.42,0.33,0.12,0.08,0.04,0","4,2,1,1,1,109",4
"52","56_Nijmeegse Opvoedvragenlijst (NOV)","hechting,nov,opvoederschap,opvoedingsstijl,opvoedingsstrategieen,ouderschap,repsonsiviteit,straffen en belonen","1,1,1,1,1,1,1,1",1,"Parenting,Social and emotional development,NA","0.83,0.17,0","2,1,111",2
"53","57_Nijmeegse Ouderlijke Stress Index (NOSI)/Parental Stress Index (PSI)","ae (adverse childhood event),attitude,beleving,bronfenbrenner,competentie,depressie,diagnostiek,gedrag,gehechtheid,gezin,gezondheid,kinddomein,kindermishandeling,krachtbronnen,nosi,opvoeding,ouder-kind relatie,ouderdomein,ouderlijke stress,parental competence,parental self-efficacy,parental stress,partnerrelatie,preventie kindermishandeling,preventie trauma,psi,relatie,risicofactoren,sociaal-emotionele ontwikkeling,sociaal netwerk,steun,stress,trauma","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"Parenting,parental cognitions,ouder-kind interactie,Mental health,Social cognition and behavior,Social and emotional development,Lifestyle,NA","0.42,0.17,0.12,0.08,0.08,0.08,0.04,0","2,1,1,1,1,1,1,109",2
"54","58_Parent child interaction (PCI)","child,communication,compliance,conflict,cooperation,coping,interaction,observation,parent,parent-child relationship,parent child interaction,parent child relationship,parental authority,parental behavior,parenting,play,social interaction","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Parenting,Social cognition and behavior,parent-child relationship,Social and emotional development,communication,observation,Personality,NA","0.3,0.23,0.13,0.13,0.1,0.07,0.05,0","3,2,1,2,1,1,1,108",3
"55","59_Parental Control Scale (PCS)","discipline,parent-child relationship,parental authority,parental control,parenting","1,1,1,1,1",1,"Parenting,Social and emotional development,Personality,Cognition,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,111",1
"56","6_Anatomy experiment (MRI)","brain development,mri,anatomy,brain,brain anatomy,brain structure,imaging,morphology,neural development,neuroimaging,smri,strucutral mri","2,2,1,1,1,1,1,1,1,1,1,1",3,"Physiology,neuroimaging,brain development,Physical health,Mental health,NA","0.39,0.33,0.11,0.08,0.08,0","2,1,1,1,1,109",3
"57","60_Parenting Dimensions Inventory (PDI)","inventory,parenting,parenting dimensions,parenting style,questionnaire,self-report","1,1,1,1,1,1",1,"Parenting,Social cognition and behavior,Lifestyle,Social and emotional development,NA","0.7,0.15,0.1,0.05,0","2,1,1,1,111",2
"58","61_Peabody Picture Vocabulary Task (PPVT)","child,computer task,language,pictures,receptive language,receptive language skills,receptive vocabulary,vocabulary,words","1,1,1,1,1,1,1,1,1",2,"Social and emotional development,receptive language,Social cognition and behavior,receptive vocabulary,Cognition,computer task,NA","0.25,0.25,0.17,0.17,0.08,0.08,0","1,1,1,1,1,1,108",2
"59","62_Penn Emotion Recognition test","emotion recognition,affective processing,emotion,emotion processing,emotional development,empathy,face processing,social cognition","2,1,1,1,1,1,1,1",3,"Social and emotional development,Social cognition and behavior,Cognition,experiment,NA","0.39,0.28,0.22,0.11,0","3,2,2,1,110",3
"60","63_Penn Motor Praxis test","motor development,praxis,sensorimotor ability","1,1,1",1,"motor development,Physical health,Mental health,NA","0.5,0.25,0.25,0","1,1,1,110",1
"61","64_Penn Word Memory test","memory,cognitive control,language,measure,recall,task,test,verbal,verbal memory,verbs,words","2,1,1,1,1,1,1,1,1,1,1",2,"Cognition,verbal memory,frontal lobe function,NA","0.67,0.22,0.11,0","3,1,1,109",3
"62","65_Periconceptual health","birth,health,periconceptual health,pregnancy,14 weeks before and 10 weeks after conception,before and after conception,behaviour during periconceptual,critical period,critical window,eerste 1000 dagen,expectations,fears,fertility,fetal growth,fetal health,infertility,ivf/iui,kinderwens,lifestyle,medical,ongewenste zwangerschap,parental health,perinatal","2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",3,"Physical health,Mental health,Lifestyle,Life history,periconceptual health,pregnancy,Parenting,Physiology,NA","0.34,0.18,0.15,0.15,0.07,0.05,0.03,0.03,0","3,2,2,2,1,1,1,1,109",3
"63","66_Portrait values questionnaire - revised (PVQ-RR)","care and security,character,dependability,humility,karaktertrekken,normen en waarden,openess to change,personal values,personality,pvq-rr,questionnaire,schwartz,stimulation,theory of values,tradition,universalism,value,values","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"Personality,Lifestyle,Social cognition and behavior,Parenting,Life history,Social and emotional development,NA","0.37,0.23,0.22,0.1,0.05,0.03,0","2,2,2,1,1,1,111",2
"64","67_Pubertal development scale (PDS)","puberty,development,gender,gender development,hormones,physical development,physical health,pubertal development,sex,sexe","2,1,1,1,1,1,1,1,1,1",4,"physical development,Physiology, pubertal development ,Physical health,gender development,Social and emotional development,questionnaire,NA","0.28,0.2,0.2,0.13,0.08,0.07,0.04,0","2,1,1,1,1,1,1,106",5
"65","68_Quick Big Five (QBF)","personality,agreeableness,conscientiousness,extraversion,neuroticism,openness to experience,personality trait dimensions,personality traits questionnaire,quick big five","2,1,1,1,1,1,1,1,1",3,"Personality,Mental health,questionnaire,Social cognition and behavior,Social and emotional development,NA","0.61,0.11,0.11,0.08,0.08,0","3,1,1,1,1,110",3
"66","69_Reading behavior (FVL-1)","analyse leesgedrag,avi,begrijpend lezen,bibliotheek,cognition,emotionele ontwikkeling,geletterdheid,language,lees aanbod,lees achterstand,lees attitude,lees bevordering,lees en leer prestaties,lees motivatie,lees vaardigheid,lees voorbeeld,leesgedrag ouders,leesonderwijs,leesvaardigheid,lezen,ouder-kind interactie,prentenboek,schoolse vaardigheden,taalbegrip,taalontwikkeling,voorlezen,woordenschat","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"reading,Cognition,language,media use,taalontwikkeling,questionnaire,Parenting,Lifestyle,Social cognition and behavior,Social and emotional development,ouder-kind interactie ,NA","0.22,0.13,0.13,0.11,0.08,0.07,0.06,0.06,0.06,0.06,0.03,0","1,1,1,1,1,1,1,1,1,1,1,105",3
"67","7_Behavior Questionnaire (IBQ-R SF, ECBQ, CBQ, TMCQ)","temperament,behavior,child,control,coping,emotion regulation,emotions,personality,questionnaire,self-regulation","2,1,1,1,1,1,1,1,1,1",2,"Social and emotional development,self-regulation,Personality,NA","0.5,0.33,0.17,0","2,1,1,110",2
"68","70_Resting state experiment (rsMRI)","brain acitivity,brain connectivity,brain functioning,brain networks,functional mri,resting state","1,1,1,1,1,1",1,"Cognition,Physiology,brain functioning,NA","0.5,0.33,0.17,0","1,1,1,110",1
"69","71_Sleep self report (SSR)","sleep,child,problematic sleep,questionnaire,sleeping behavior","2,1,1,1,1",2,"Physiology,Physical health,Lifestyle,Mental health,NA","0.33,0.25,0.25,0.17,0","1,1,2,1,111",2
"70","72_Social Responsiveness Scale for Adults (SRS-A)","autism,autism spectrum,autistic traits,psychopathology,social cognition,social responsiveness,social skills,subclinical traits","1,1,1,1,1,1,1,1",1,"Mental health,Social cognition and behavior,Personality,Social and emotional development,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,111",1
"71","73_Social Support List (SSL)","","",0,"Social and emotional development,NA","1,0","1,111",1
"72","74_Spoken language in child's environment and Clinical Evaluation of Language Fundamentals (CELF-4 pragmatics)","childhood,language development","1,1",1,"Cognition,language,childhood,questionnaire,NA","0.33,0.33,0.17,0.17,0","1,1,1,1,108",1
"73","75_Strengths and difficulties questionnaire (SDQ)","behavioral problems,social competence,,difficulties,emotionele problemen,externalizing problems,gedragsproblemen,hyperactiviteit/aandachtstekort,internalizing problems,kwaliteiten,peer relations,personality,problem behavior,problemen met leeftijdsgenoten,prosociaal gedrag,prosocial behavior,psychopathology,psychosocial development,psychosocial problems,psychosociale problematiek,questionnaire,screening,sdq,social cognition,social skills,strengths,vaardigheden,vroegsignalering","2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",5,"Social and emotional development,Personality,Mental health,Social cognition and behavior,psychosocial problems,Cognition,screening,vroegsignalering,NA","0.33,0.21,0.15,0.14,0.1,0.03,0.02,0.01,0","5,4,4,3,1,1,1,1,108",5
"74","76_Teacher Report Form (TRF)","childhood,externalizing problems,internalizing problems,mental health,psychopathology,social and emotional development","1,1,1,1,1,1",2,"Mental health,psychosocial problems,Social and emotional development,psychopathology,questionnaire,childhood,NA","0.29,0.25,0.17,0.12,0.08,0.08,0","2,1,1,1,1,1,107",2
"75","77_The Children's Behavior Questionnaire (CBQ)","3-7 years,behavior,behavior questionnaire,cbq,child,child temperament questionnaire,childhood,development,effortful control (item) q.),emotional affectivity (item) questionnaire,extraversion (item)) q.,middle childhood,personality,self-regulation (item) questionnaire,temperament","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",2,"Social and emotional development,Personality,temperament child,Social cognition and behavior,Cognition,emotional development child,NA","0.33,0.32,0.13,0.1,0.08,0.03,0","2,2,1,1,1,1,109",2
"76","78_The Early Childhood Behavior Questionnaire (ECBQ)","","",0,"NA","NaN","111",0
"77","79_The Temperament in Middle Childhood Questionnaire (TMCQ)","affect,behavioral control,effortful control,emotion regulation,personality,psychology,temperament","1,1,1,1,1,1,1",2,"Personality,Social cognition and behavior,Social and emotional development,Mental health,NA","0.31,0.29,0.29,0.11,0","2,2,2,1,111",2
"78","8_Behavioral inhibition scale (BIS) and risk behavior (substance (ab)use)","inhibition,risk behavior,behavioral control,impulsivity,self control,substance abuse,bis,cognitive control,effortful control,frontal lobe,nervousness,peers. adolescent,personality,puberty","3,3,2,2,2,2,1,1,1,1,1,1,1,1",3,"Personality,Mental health,Cognition,Lifestyle,Social cognition and behavior,Social and emotional development,self control,NA","0.31,0.28,0.11,0.08,0.08,0.08,0.06,0","3,2,1,1,1,1,1,110",3
"79","80_Trust game","social cognition,prosocial behavior,trust,empathy,reciprocity,social behavior,social competence","3,2,2,1,1,1,1",3,"Social cognition and behavior,Social and emotional development,Personality,experiment,Cognition,NA","0.47,0.32,0.12,0.06,0.03,0","3,3,2,1,1,110",3
"80","81_Utrechtse Coping Lijst (UCL)","behavior,cognition,coping,coping strategy,coping style,problems,questionnaire,self-report","1,1,1,1,1,1,1,1",1,"Social cognition and behavior,Social and emotional development,Cognition,Personality,NA","0.4,0.3,0.2,0.1,0","1,1,1,1,111",1
"81","82_Wechsler Adult Intelligence Scale (WAIS) ","cognition,iq,adulthood,intelligence,intelligentieprofiel,iq test,perceptueel redeneren,tiq,verbaal begrip,verwerkingssnelheid.,wais,werkgeheugen","2,2,1,1,1,1,1,1,1,1,1,1",4,"Cognition,iq,intelligence,adulthood,NA","0.68,0.17,0.1,0.05,0","4,1,1,1,108",4
"82","83_Wechsler Intelligence Scale for Children (WISC-III) ","intelligence,childhood,children,cognition,cognitive development,iq","2,1,1,1,1,1",3,"Cognition,iq,intelligence,cognitive development,childhood,NA","0.6,0.17,0.1,0.08,0.05,0","4,1,1,1,1,107",4
"83","84_Wechsler Preschool and Primary Scale of Intelligence (WPPSI)","iq,,child,intelligence,iq measure","2,1,1,1,1",2,"Cognition,iq,intelligence,cognitive development,NA","0.44,0.22,0.22,0.11,0","3,1,1,1,108",3
"84","85_Work demographics","achtergrondinformatie,dagelijks leven,leefomgeving,omgeving,opleidingsniveau,ses,werk","1,1,1,1,1,1,1",1,"Demographics,work environment,NA","0.67,0.33,0","1,1,110",1
"85","9_Blood","dna,,biological material,biological measures,biological sample,biomedical material,blood,epigenetics,genetics,hereditary,hormones,venipuncture","2,1,1,1,1,1,1,1,1,1,1,1",2,"Physiology,Physical health,Lifestyle,NA","0.83,0.11,0.06,0","3,1,1,111",3
