Instrument_nr;Instrument_name;Instrument_description
61;Nijmeegse Ouderlijke Stress Index (NOSI)/Parental Stress Index (PSI) - subscale Acceptance;Nijmeegse Ouderlijke Stress Index - Parent's self-report to assess parental acceptance
62;Nijmeegse Ouderlijke Stress Index (NOSI)/Parental Stress Index (PSI) - subscale Sense of competence;Nijmeegse Ouderlijke Stress Index - Parent's self-report to assess parental sense of competence
63;Parent child interaction (PCI);The PCI consists of age appropriate structured tasks that include a common mildly stressful event (discussing a difficult topic), and a pleasant event (discussing a pleasant topic).
64;Parent child interaction (PCI) Conflict;Observation of parent-child interaction with a semi-structured conversational task. Parents and children need to selecta topic of recent disagreement and come up with potential solutions.
65;Parent child interaction (PCI) Vacation;Observation of parent-child interaction. Includes a semi-structured conversational task in which parents and children need to cooperate to come up with a plan for a vacation.
66;Parental Control Scale (PCS);Questionnaire about parental behavior consisting of 13-items. Self-report of both parents' and children's perceptions about the behavioral control they experience(d) as children (or control administered to children by their parents).
67;Parenting Dimensions Inventory (PDI);Questionnaire about parenting. Includes items about how the parent values practices such as obedience, setting and enforcing rules, and guiding behavior.
68;Peabody Picture Vocabulary Task (PPVT);Computer task to measure a child’s receptive vocabulary
69;Penn emotion recognition test;Emotion recognition task
70;Penn motor praxis test;A measure of sensorimotor ability. Participant needs to move the computer mouse cursor over an ever-shrinking green box and click on it once each time it appears on a different location on the test-page.
71;Penn word memory test;Task to assess verbal memory. Consists of 20 target words that are then mixed with 20 distractors equated for frequency, length, concreteness and low imageability.
72;Penn word memory test delay;Task to assess and verbal memory.
73;Periconceptual health;Questionnaire about periconceptual health.
74;Personal values questionnaire (PVQ-RR);Questionnaire to assess personal values. These include values such as, e.g. openess to change, care and security, conservsation and tradition, universalism, dependability, humility, stimulation.
75;Portrait values questionnaire - revised (PVQ-RR);Questionnaire to assess personal values. These include values such as, e.g. openess to change, care and security, conservsation and tradition, universalism, dependability, humility, stimulation, among others.
76;Pubertal development scale (PDS);Questionnaire about pubertal development. Includes items about development secondary sex characteristics.
77;Quick Big Five (QBF);Brief questionnaire to assess personality traits. Consists of five dimensions: openness to experience, conscientiousness, extraversion,  agreeableness, and neuroticism.
78;Reading behavior (FVL-1);Questionnaire about reading behavior
79;Resting state experiment (rsMRI);MRI
80;Sleep self report (SSR);Questionnaire about sleep behavior
81;Social Responsiveness Scale for Adults (SRS-A);Questionnaire about autistic traits
82;Social Support List (SSL);Questionnaire about social support interactions. Includes items about e.g. emotional support, instrumental support, social companionship.
83;Spoken language in child's environment and Clinical Evaluation of Language Fundamentals (CELF-4 pragmatics);Questionnaire about language situation and pragmatics
84;Strengths and difficulties questionnaire (SDQ);Questionnaire about strengths and difficulties
85;Teacher Report Form (TRF);Questionnaire about problem behavior and skills of the child
86;The Children's Behavior Questionnaire (CBQ);Questionnaire about child behavior to assess temperament in early to middle childhood (3-7 years).  Includes items about emperament dimensions such as negative affectivity, extraversion, and effortful control. 
87;The Early Childhood Behavior Questionnaire (ECBQ);Questionnaire about child behavior to assess temperament in early childhood (1-3 years). Includes questions about distress, soothability, fear, sadness, frustration, cuddling behavior, among others.
88;The Temperament in Middle Childhood Questionnaire (TMCQ);Questionnaire about child behavior to assess temperament in middle childhood (7-10 years).  Includes items about emperament dimensions such as negative affectivity, extraversion, and effortful control. 
89;Trust game;A task to test participants’ willingness to trust others and reciprocate other’s trusts in a social context, both of which serve as proxies for prosocial behaviour
90;Utrechtse Coping Lijst (UCL);Questionnaire to assess is the cognitive and behavioral strategies people use dealing with problem situations (i.e. coping).  
91;Wechsler Adult Intelligence Scale (WAIS) ;IQ as measured by the Wechsler Adult Intelligence Scale
92;Wechsler Intelligence Scale for Children (WISC-III) ;IQ as measured by the Wechsler Intelligence Scale for Children
93;Wechsler Preschool and Primary Scale of Intelligence (WPPSI);IQ as measured by the Wechsler Preschool and Primary Scale of Intelligence
94;Work demographics;Questionnaire about parent's work.
