Instrument_nr;Instrument_name;Instrument_description
60;Musical Training Questionnaire;The musical training questionnaire (BAM) measures the self- and parent-reported experience and skills with music and dance.
61;MyChild - Empathy;MyChild is aimed to measure conscience / internalized compliance and consists of 100 items over 10 different subscales. In L-CID, 46 items from 3 subscales are measured: Empathy, Guilt and Internalized Conduct.
62;MyChild - Guilt;MyChild is aimed to measure conscience / internalized compliance and consists of 100 items over 10 different subscales. In L-CID, 46 items from 3 subscales are measured: Empathy, Guilt and Internalized Conduct.
63;MyChild - Obedience;MyChild is aimed to measure conscience / internalized compliance and consists of 100 items over 10 different subscales. In L-CID, 46 items from 3 subscales are measured: Empathy, Guilt and Internalized Conduct.
64;Observation Evening meal;Observation of parent-child interactions during the evening meal
65;Olweus Bully/Victim Questionnaire;Questionnaire about bullying behaviors and victimization experiences of the child
66;Pandemic Questionnaire ;Questionnaire about COVID-19, e.g., COVID-symptoms, COVID-related behaviors and feelings
67;Parenting Attitudes Questionnaire;The Parenting Attitudes Questionnaire consists of 20 items about the attidues of parents about raising their children (e.g., when disciplining children is appropriate)
68;Parenting Daily Hassles;The Parenting Daily Hassles questionnaire consists of 20 items about the frequency and intensity of daily hassles parents may deal with, e.g., having to clean up children's messes or difficulties getting the children ready to go out
69;Parenting Practices Questionnaire - Warmth/involvement;The Parenting Practices Questionnaire consists of 62 items about the actions of parents. Within L-CID, 11 items from the warmth/involvement subscale are used, where the child is asked about affection, warmth, involvement and attention of the parent
70;Parenting Scale;The Parenting scale consists of 30 items. Within L-CID, items from the Laxness and Overreactivity subscales are used about parent's behavior and opinion about lax and aggressive behavior of the parent in raising their children
71;Parenting Scale - Overreactivity;The Parenting scale consists of 30 items. Within L-CID, items from the Laxness and Overreactivity subscales are used about parent's behavior and opinion about lax and aggressive behavior of the parent in raising their children
72;Perceived Stress Scale;Questionnair about feelings of stress and anxiety in the past period
73;Pregnancy and Birth;The pregnancy questionnaire consists of items about the pregnancy course, duration and outcome of the pregnancy
74;Previous Parenting Support;The Previous Parenting Support questionnaire (Opvoedhulp vragenlijst) is a self-developed questionnaire about previous support that parents have sought in raising their children. 
75;Prosocial Cyberball Task;Task where the child can help a socially-excluded child
76;Prosocial Cyberball Task - Owl task;Task where the child can help a socially-excluded child
77;Prosocial Cyberball Task - Prosocial vignettes;Task where the child can help a socially-excluded child
78;Pubertal Developmental Scale;The Pubertal Developmental Scale consists of 8 items, which differ for boys and girls, about which stage of puberty children are in
79;Purdue Home Stimulation Inventory - Observation, interview;Observation and interview about household chaos
80;Questionnaire home environment - Daily routines (Sleep, Eat, Care, Media, Work);The Routines questionnaire investigates family routines in terms of sleep, eating, care, media and work. 
81;Questions about schoolgoing of the twins;Questions about schoolgoing of the children, e.g., which grade, type of school, etc.
82;Questions about the hair sample;These questions accompany the physical hair that is colected, e.g., about last time the hair was washed, hair color, etc.
83;Reading ability;Reading task to assess reading ability
84;Saliva samples - Cortisol & Pubertal hormones (cheeck swab or passive drool);Saliva sample to measure several hormones
85;Sally-Ann Task;Task to measure the child's ability for Theory of Mind
86;Selfconcept Task;Task about the child's self-concept
87;Sensitive Discipline - Do;Observation of parent-child interaction when the parent has to instruct the child to do something (e.g., clean up toys)
88;Sensitive Discipline - Don't;Observation of parent-child interaction in which the parent has to forbid the child to do something (e.g., do not touch the toys while the parent plays with them)
89;Sensitivity - Etch-a-Sketch;Observation of parent-child interaction during the playing of the etch-a-sketch game, in the parent and the child have to collaborate to create a drawing
90;Sensitivity - Family game (Familygame_quartet en Familygame_roach);Observation of parent-child interaction during the playing of a family game
91;Sensitivity - Free play;Observation of free play without instructions
92;Sensorimotor synchronization;Task in which the child has to compare rhythms and judge whether sounds are in sync with a given rhythm
93;Sleep routines;Sleep routines is a questionnaire containing items on the sleep routine of the children (e.g., at what time do the children go to bed, how long do they sleep, etc.)
94;Sleeppatterns - Actigraph;Actigraph watch to determine the sleep patterns of the child during the night
95;Social Contact;The social contact questions are about the duration, types and importance of the children's social contacts
96;Social Emotional Questionnaire;Questionnaire about social-emotional problems of the child
97;Social Emotional Vignettes;The Social Emotional Vignettes questionnaire (original name: Brief Shame and Guilt Questionnaire) consists of 12 items and 2 subscales about feelings of shame and guilt in imaginary situations
98;Social Media Questionnaire;Questionnaire about social media use, rules and attitudes by the children
99;Social media questionnaire;Questionnaire about online behavior of the children
100;Social Network Agression Task;Task where the child can respond aggressively in response to different types of peers
101;Social Network Agression Task - Early Childhood;Task where the child can respond aggressively in response to different types of peers
102;Social Network Agression Task - Stories;Task where the child can respond aggressively in response to different types of peers
103;Social Responsiveness Scale;Questionnaire about social skills of the child, often used in identifying autistic traits
104;Social Wellbeing questionnaire;Questionnaire about the social wellbeing of the child (e.g., happiness)
105;Stop-Signal Task - Arrows;Task where the child has to inhibit their response in response to a quickly appearing signal
106;Stop-Signal Task - Cars;Task where the child has to inhibit their response in response to a quickly appearing signal
107;Strength and Difficulties Questionnaire;The Strength and difficulties questionnaire consists of 25 items, divided over 5 subscales: Prosocial, Hyperactivity, Conduct problems, Peer problems, Emotional problems.
108;Temperament in Middle Childhood Questionnaire - Discomfort, Fear, Perceptual sensitivity;
109;Temperament in Middle Childhood Questionnaire - Effortful control;The Temperament in Middle Childhood Questionnaire consists of 42 items divided over 4 subscales: Discomfort, Perceptual Sensitivity, Fear, and Effortful Control. The Effortful control subscale consists of items about Attentional Control and Inhibitory Control of the child
110;Twin Social Interaction / Etch a sketch among twins;Task where the twins play a game of etch a sketch together
111;Twin social skills or differences;These are a few (generally open) questions about the perceived differences between the twins, e.g., in terms of social skills
112;Tympanic Membrane Temperature;Temperature of the ear
113;Visual Analogue Scale - Scanner related stress;The Visual Analogue Scale is a way of measuring stress related to going into the MRI scanner
114;Weight;Height in cm of the child
115;Wildman items to screen for social desirability;The Wildman questionnaire is a measure of social desirability and is embedded within other questionnaire items 
116;Zygosity questionnaire;The Zygosity questionnaire asks parents about the zygosity of their twins (are they mono- or dizygotic) and to what extent they are alike physically
