Instrument_nr;Instrument_name;Instrument_description
69;Health_Diseases_birth;Questions about health problems since birth (e.g., incubator use, medical treatment, hospitalization, disease/disorders (e.g., Rs-virus, 5th disease) since birth)
70;Health_migraine;"Questions about migraine (e.g., ""how often do you suffer from headache attacks"")"
71;Heart_Rate;Heart rate as measured at resting state and/or during exercise (subproject dependent)
72;Iowa gambling task (IGT);Psychological task thought to simulate real-life decision making
73;Language_Development;"Questions about language development and stuttering (e.g., ""have you ever stuttered"", ""describe your child's speech skills"")"
74;LeisureActivities;Questions about leisure time activities (e.g., time spend watching tv, reading, gaming, etc.)
75;Life_Event;Questions about type of life events (e.g., experienced (parental) divorce, illness, death)
76;Lifestyle_SubstanceUse;Questions about the substance use (e.g., smoking, drinking, soft drug use)
77;Lifestyle_SubstanceUse_pregnancy;"Questions about substance us before/during pregnancy of the parents of twins (e.g., ""did you ever smoke before the pregnancy of the twin"", did you drink alcohol during the pregnancy"")"
78;Loneliness_Scale;"Questions about loneliness (e.g., ""How often do you feel left out?"", ""How often do you feel that you lack companionship?"")"
79;McMaster Family Assessment Device - General Functioning Scale;"Questions about family interactions (e.g., ""In times of crisis we can turn to each other for support"")"
80;MedicationSupplementUse_pregnancy;Questions about medication and nutritional supplement use by mother during pregnancy
81;MedicationUse;Medication use incl. dosage and if available ATC code
82;Mental Rotations Test (MRT);Compare two-dimensional drawings and three- dimensional geometric figures (assesses spatial processing)
83;monetary-choice questionnaire;27 choices between smaller, immediate rewards and larger, delayed rewards to assess impulsiveness
84;Motor_Development;"Questions about motor development in children (e.g., ""can the child put thread in embroidery needle"" or ""with how many months could your twin walk without support for the first time"")"
85;MRI;MRI scan available
86;N-back task;Assesses working memory
87;Nutrition_Pregnancy;"Questions about nutritional habits mother during pregnancy (e.g., ""did you eat according to a vegetarian diet during pregnancy?"")"
88;One or Three Minutes Reading Task;Reading ability assessed by reading out loud
89;ParentingStyle;"Questions about parenting style (e.g., ""I know where my child is when he/she isn't at home"")"
90;Physical_characteristics;hair & eye color
91;PhysicalActivities;Questions about physical activity (e.g., type of sport practiced, time spend on sport)
92;Pregnancy_CourseDuration;Questions about pregnancy course and duration (e.g., length of pregnancy, early or late birth)
93;Pregnancy_Problems;Questions about problems during pregnancy (e.g.,. eclampsia, iron deficiency, twin-to-twin transfusion syndrome (TTTS))
94;Pregnancy_Questions;"Questions about getting pregnant (e.g., ""how did you get pregnant of the twins"", ""Did you use hormone preparations prior to the pregnancy of the twins?"", or ""How often did you have a miscarriage"")"
95;Pubertal_Development;Questions about pubertal development (e.g., breast growth, menstruation, shaving, deepening of voice)
96;RAKIT;short version of the RAKIT - IQ test
97;Raven Standard Progressive matrixes;Nonverbal IQ test
98;Reading the Mind in the Eyes task;Assesses mental state recognition
99;Reading_Writing;"Questions about child's reading and writing ability and habits (e.g., ""how many books do you have at home"", ""does the child get frustrated when reading"", ""does the child only write at school or when it's required for school"")"
100;revised Conners' Parent Rating Scale (CPRS-R);Measures social, emotional, behavioral, and academic problems in children and adolescents ages 8 to 18
101;revised Conners' Teacher Rating Scale (CTRS-R);Measures social, emotional, behavioral, and academic problems in children and adolescents ages 8 to 18
102;Revised Life Orientation Test (LOT-R);Measures how optimistic or pessimistic people feel about the future
103;Revised NEO Five-Factor Inventory (NEO-FFI-R);The 60-item questionnaire that assesses the five basic personality factors (Neuroticism, Emotional Stability, Extraversion, Openness to Experience, Agreeableness, and Conscientiousness)
104;Rosenberg self-esteem scale;A 10-item scale that measures global self-worth by measuring both positive and negative feelings about the self
105;saliva;saliva sample
106;saliva_biomarkers;cortisol and testosterone measured in saliva in subprojects of the NTR
107;Satisfaction with Life Scale (SLS);"Questionnaire that assess life satisfaction (e.g., ""my life is going more or less as I wished"")"
108;School_Learningdifficulties;"Questions about learning difficulties at school (e.g., ""has the child received a diagnosis of reading difficulties or dyslexia?"")"
109;School_ResultsPerformance;"school results and performance (e.g., ""current school result for language"" or ""Cito score"")"
110;SchoolSituation;Questions about the school situation (e.g., type of school, twins same/different school/class, skipping/repeating grades, and truancy)
111;Simon task;Behavioral measure of interference/conflict resolution
112;Sleep_SleepHabits;"Questions about sleep and sleep habits (e.g., ""do the twins sleep together in the same room"", ""normal hours of sleep"")"
113;Snellen_Chart;Assesses visual acuity
114;Social Skills Rating System (SSRS);Social behavior in pre-school, elementary, and secondary students
115;Strengths and Difficulties Questionnaire (SDQ);Behavioral screening questionnaire about 3-16 year old's, measuring emotional symptoms, conduct problems, hyperactivity/inattention, peer-relationship problems, and prosocial behavior
116;Strengths and Weaknesses of Attention-Deficit/Hyperactivity Disorder Symptoms and Normal Behavior Scale (SWAN);Assesses ADHD symptoms
117;Stroop colour-word task;Measures Selective attention
118;Subjective Happiness Scale (SHS);"Questionnaire that assesses happiness (e.g., ""On the whole I am a happy person"")"
119;Surgery_Anesthesia;"Questions about surgery and anesthesia (e.g., ""has the child been under general anesthesia"", ""have the child's tonsils been removed"")"
120;T1-weighted Magnetization Transfer Imaging (MTI);T1-weighted Magnetization Transfer Imaging (MTI) at baseline and follow-ups of the BrainSCALE project
121;T2-weighted Magnetization Transfer Imaging (MTI);T2-weighted Magnetization Transfer Imaging (MTI) at baseline and follow-ups of the BrainSCALE project
122;Tanner;Assessment of Tanner stages (pubertal stage on the basis of secondary sexual characteristics) in subprojects
123;Teacher Report Form (TRF);Measures adaptive functioning, Personal Strengths, (empirically based) syndromes, Internalizing, Externalizing, and Total Problems
124;Temperament_Questions;"Questions about related to temperament (e.g., ""did the children cry without a clear cause?"" or ""are the children upset for a long time if the normal daily routine is disrupted?"")"
125;Toitlet_Training;"Questions about toilet training (e.g., ""how often do children pee in their pants during the day"" or :how old were the children when they were completely clean during the night"")"
126;Tower of Hanoi;Psychological problem solving task (a mathematical game or puzzle)
127;urine;first morning urine sample
128;urine_biomarkers;results of urinary dipstick, density, creatinine, neopterin, oxidized DNA/RNA, C-peptide, and Substance P tests as performed for the NTR-ACTION project
129;urine_collection;questions about the urine collection in the NTR-ACTION project (e.g., data and time of collection/freezing sample)
130;urine_GC-MS_OA;Urinary gas chromatography spectrometry (GC-MS) metabolomics platform targeting organic acids (OA)  in the NTR-ACTION project
131;urine_LC-MS_Amines;Urinary liquid chromatography spectrometry (LC-MS) metabolomics platform targeting amines in the NTR-ACTION project
132;urine_LC-MS_steroids;Urinary liquid chromatography spectrometry (LC-MS) metabolomics platform targeting steroids in the NTR-ACTION project and a subsample of the baseline of the BrainScale project
133;urine_steroids;Urinary steroids measured with gas chromatography tandem mass spectrometry (GC-MS/MS) at baseline and follow-ups of the BrainSCALE project
134;Vaccinations;Questions about general vaccinations (e.g., has the child received the vaccination against mumps, measles and rubella (BMR))
135;VU_AMS;electrocardiogram (ECG) and impedance cardiogram (ICG) measured with a VU AMS device during baseline and exercise conditions in various subprojects
136;Wechsler Abbreviated Scale of Intelligence (WASI);IQ test for adults
137;Wechsler Intelligence Scale for Children-III (WISC-III);IQ test for children
138;wellbeing;Measure that describe the wellbeing on a 5-point Likert scale 
139;Workdemographics_parents;work demographics of the parents of twins (e.g.,. work hours and profession)
140;Youth Self Report (YSR);Measures adaptive functioning, Personal Strengths, (empirically based) syndromes, Internalizing, Externalizing, and Total Problems
141;Zygosity_resemblance;questionnaire about twin resemblance to determine zygosity (10 items about resemblance between the twins: 6 items about physical similarities and 4 items about confusion by parents and others)
