"","Instrument_name","Keywords","Keyword_count","Keyword_respondents","Categories","Priority_scores","Times_mentioned","Respondents"
"35","40_Pandemic Questionnaire ","","",0,"NA","NaN","33",0
"36","41_Parenting Attitudes Questionnaire","parenting,parenting attitudes","1,1",1,"Parenting,NA","1,0","1,33",1
"37","42_Parenting Daily Hassles","daily hassles,parenting","1,1",1,"Parenting,Mental health,NA","0.67,0.33,0","1,1,33",1
"38","43_Parenting Practices Questionnaire - Warmth/involvement","parental affection,parental attention,parental involvement,parental sensitivity,parental warmth,parenting","1,1,1,1,1,1",1,"Parenting,NA","1,0","1,33",1
"39","44_Parenting Scale","parental aggression,parental laxness,parenting attitudes,parenting behavior","1,1,1,1",1,"Parenting,NA","1,0","1,33",1
"40","45_Parenting Scale - Overreactivity","parental laxness,parental overreactivity,parenting behavior,self-report","1,1,1,1",1,"Parenting,NA","1,0","1,33",1
"41","46_Perceived Stress Scale","","",0,"NA","NaN","33",0
"42","47_Pregnancy and Birth","","",0,"NA","NaN","33",0
"43","48_Previous Parenting Support","parenting,parenting support","1,1",1,"Parenting,NA","1,0","1,33",1
"44","49_Purdue Home Stimulation Inventory - Observation, interview","","",0,"NA","NaN","33",0
"45","5_Brief Symptom Inventory","","",0,"NA","NaN","33",0
"46","50_Questionnaire home environment - Daily routines (Sleep, Eat, Care, Media, Work)","","",0,"NA","NaN","33",0
"47","51_Questions about school-going of the twins","academic achievement,academic development,school","1,1,1",1,"Demographics,Cognition,Lifestyle,NA","0.5,0.33,0.17,0","1,1,1,33",1
"48","52_Sally-Ann Task","","",0,"NA","NaN","33",0
"49","53_Self-concept Task","","",0,"NA","NaN","33",0
"50","54_Sensitive Discipline - Do","","",0,"NA","NaN","33",0
"51","55_Sensitive Discipline - Don't","parental sensitive discipline,parenting","1,1",1,"Parenting,NA","1,0","1,33",1
"52","56_Sensitivity - Etch-a-Sketch","parent-child collaboration,parent-child interaction,parental sensitivity","1,1,1",1,"Parenting,parent-child interaction,NA","0.67,0.33,0","1,1,32",1
"53","57_Sensitivity - Family game (Familygame_quartet en Familygame_roach)","","",0,"NA","NaN","33",0
"54","58_Sensitivity - Free play","","",0,"NA","NaN","33",0
"55","59_Sensorimotor synchronization","","",0,"NA","NaN","33",0
"56","6_Buitenschoolse activiteiten (out of school activities)","extracurricular activities,hobbies","1,1",1,"daily routines,Social cognition and behavior,NA","0.67,0.33,0","1,1,32",1
"57","60_Social Contact","","",0,"NA","NaN","33",0
"58","61_Social Media Questionnaire","","",0,"NA","NaN","33",0
"59","62_Social Media Questionnaire","","",0,"NA","NaN","33",0
"60","63_Social Wellbeing Questionnaire","","",0,"NA","NaN","33",0
"61","64_Strength and Difficulties Questionnaire","","",0,"NA","NaN","33",0
"62","65_Temperament in Middle Childhood Questionnaire - Discomfort, Fear, Perceptual sensitivity","","",0,"NA","NaN","33",0
"63","66_Temperament in Middle Childhood Questionnaire - Effortful control","effortful control,middle childhood,temperament","1,1,1",1,"Personality,Social and emotional development,NA","0.67,0.33,0","1,1,33",1
"64","67_Twin Social Interaction / Etch-a-Sketch among twins","","",0,"NA","NaN","33",0
"65","68_Twin Social Skills or Differences","individual differences,social competence,twins","1,1,1",1,"Personality,Social and emotional development,NA","0.5,0.5,0","1,1,33",1
"66","69_Visual Analogue Scale - Scanner related stress","scanner related stress,stress experience","1,1",1,"Mental health,neuroimaging,NA","0.67,0.33,0","1,1,32",1
"67","7_Cheating - Ball throwing","","",0,"NA","NaN","33",0
"68","70_Wildman items to screen for social desirability","","",0,"NA","NaN","33",0
"69","8_Cheating - Dog task","","",0,"NA","NaN","33",0
"70","9_Cheating - Word puzzle","","",0,"NA","NaN","33",0
